[2024-12-27 19:15:11] tokens per iteration will be: 16,384
[2024-12-27 19:15:11] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2024-12-27 19:15:11] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2024-12-27 19:15:12] compiling the model... (takes a ~minute)
[2024-12-27 19:15:17] step 0: train loss 4.2874, val loss 4.2823
[2024-12-27 19:15:20] iter 0: loss 4.2654, time 7116.40ms, mfu -100.00%
[2024-12-27 19:15:20] iter 10: loss 3.1462, time 21.36ms, mfu 17.44%
[2024-12-27 19:15:20] iter 20: loss 2.7313, time 20.61ms, mfu 17.51%
[2024-12-27 19:15:20] iter 30: loss 2.6180, time 20.67ms, mfu 17.56%
[2024-12-27 19:15:20] iter 40: loss 2.5754, time 20.65ms, mfu 17.61%
[2024-12-27 19:15:21] iter 50: loss 2.5251, time 20.72ms, mfu 17.64%
[2024-12-27 19:15:21] iter 60: loss 2.5142, time 20.64ms, mfu 17.69%
[2024-12-27 19:15:21] iter 70: loss 2.4944, time 20.66ms, mfu 17.72%
[2024-12-27 19:15:21] iter 80: loss 2.4939, time 20.60ms, mfu 17.76%
[2024-12-27 19:15:21] iter 90: loss 2.4677, time 20.66ms, mfu 17.79%
[2024-12-27 19:15:22] iter 100: loss 2.4597, time 20.69ms, mfu 17.81%
[2024-12-27 19:15:22] iter 110: loss 2.4623, time 20.93ms, mfu 17.81%
[2024-12-27 19:15:22] iter 120: loss 2.4283, time 20.66ms, mfu 17.83%
[2024-12-27 19:15:22] iter 130: loss 2.4090, time 20.72ms, mfu 17.84%
[2024-12-27 19:15:22] iter 140: loss 2.4180, time 20.64ms, mfu 17.87%
[2024-12-27 19:15:23] iter 150: loss 2.4185, time 20.66ms, mfu 17.88%
[2024-12-27 19:15:23] iter 160: loss 2.3720, time 20.61ms, mfu 17.90%
[2024-12-27 19:15:23] iter 170: loss 2.3593, time 20.69ms, mfu 17.91%
[2024-12-27 19:15:23] iter 180: loss 2.3273, time 20.63ms, mfu 17.93%
[2024-12-27 19:15:23] iter 190: loss 2.2566, time 20.66ms, mfu 17.94%
[2024-12-27 19:15:24] iter 200: loss 2.2165, time 20.67ms, mfu 17.95%
[2024-12-27 19:15:24] iter 210: loss 2.1442, time 20.70ms, mfu 17.95%
[2024-12-27 19:15:24] iter 220: loss 2.1467, time 20.63ms, mfu 17.96%
[2024-12-27 19:15:24] iter 230: loss 2.0773, time 20.66ms, mfu 17.97%
[2024-12-27 19:15:25] iter 240: loss 2.0850, time 20.59ms, mfu 17.98%
[2024-12-27 19:15:28] step 250: train loss 1.9712, val loss 2.0707
[2024-12-27 19:15:28] saving checkpoint to out-shakespeare-char
[2024-12-27 19:15:28] iter 250: loss 2.0318, time 3150.10ms, mfu 16.20%
[2024-12-27 19:15:28] iter 260: loss 1.9728, time 20.62ms, mfu 16.38%
[2024-12-27 19:15:28] iter 270: loss 1.9850, time 20.64ms, mfu 16.55%
[2024-12-27 19:15:28] iter 280: loss 1.9856, time 20.72ms, mfu 16.69%
[2024-12-27 19:15:29] iter 290: loss 1.9143, time 20.66ms, mfu 16.83%
[2024-12-27 19:15:29] iter 300: loss 1.8993, time 20.70ms, mfu 16.95%
[2024-12-27 19:15:29] iter 310: loss 1.8716, time 20.62ms, mfu 17.06%
[2024-12-27 19:15:29] iter 320: loss 1.8541, time 20.70ms, mfu 17.15%
[2024-12-27 19:15:29] iter 330: loss 1.8124, time 20.65ms, mfu 17.24%
[2024-12-27 19:15:30] iter 340: loss 1.7826, time 20.70ms, mfu 17.32%
[2024-12-27 19:15:30] iter 350: loss 1.8250, time 20.64ms, mfu 17.39%
[2024-12-27 19:15:30] iter 360: loss 1.7766, time 20.69ms, mfu 17.45%
[2024-12-27 19:15:30] iter 370: loss 1.7444, time 20.64ms, mfu 17.51%
[2024-12-27 19:15:30] iter 380: loss 1.7302, time 20.70ms, mfu 17.56%
[2024-12-27 19:15:31] iter 390: loss 1.7328, time 20.64ms, mfu 17.61%
[2024-12-27 19:15:31] iter 400: loss 1.7621, time 20.70ms, mfu 17.65%
[2024-12-27 19:15:31] iter 410: loss 1.6962, time 20.67ms, mfu 17.69%
[2024-12-27 19:15:31] iter 420: loss 1.7140, time 20.70ms, mfu 17.72%
[2024-12-27 19:15:32] iter 430: loss 1.6862, time 20.66ms, mfu 17.75%
[2024-12-27 19:15:32] iter 440: loss 1.6601, time 20.69ms, mfu 17.78%
[2024-12-27 19:15:32] iter 450: loss 1.6548, time 20.65ms, mfu 17.80%
[2024-12-27 19:15:32] iter 460: loss 1.6015, time 20.73ms, mfu 17.82%
[2024-12-27 19:15:32] iter 470: loss 1.6501, time 20.60ms, mfu 17.85%
[2024-12-27 19:15:33] iter 480: loss 1.6212, time 20.70ms, mfu 17.86%
[2024-12-27 19:15:33] iter 490: loss 1.5948, time 20.66ms, mfu 17.88%
[2024-12-27 19:15:36] step 500: train loss 1.5195, val loss 1.7137
[2024-12-27 19:15:36] saving checkpoint to out-shakespeare-char
[2024-12-27 19:15:36] iter 500: loss 1.5927, time 3159.93ms, mfu 16.10%
