[2024-12-27 21:02:58] tokens per iteration will be: 16,384
[2024-12-27 21:02:58] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2024-12-27 21:02:58] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2024-12-27 21:02:59] compiling the model... (takes a ~minute)
[2024-12-27 21:03:04] step 0: train loss 4.2874, val loss 4.2823
[2024-12-27 21:03:06] iter 0: loss 4.2654, time 6953.19ms, mfu -100.00%
[2024-12-27 21:03:07] iter 10: loss 3.1462, time 21.25ms, mfu 17.54%
[2024-12-27 21:03:07] iter 20: loss 2.7309, time 20.51ms, mfu 17.60%
[2024-12-27 21:03:07] iter 30: loss 2.6176, time 20.52ms, mfu 17.66%
[2024-12-27 21:03:07] iter 40: loss 2.5755, time 20.50ms, mfu 17.71%
[2024-12-27 21:03:07] iter 50: loss 2.5250, time 20.51ms, mfu 17.76%
[2024-12-27 21:03:08] iter 60: loss 2.5142, time 20.51ms, mfu 17.80%
[2024-12-27 21:03:08] iter 70: loss 2.4946, time 20.51ms, mfu 17.83%
[2024-12-27 21:03:08] iter 80: loss 2.4936, time 20.50ms, mfu 17.87%
[2024-12-27 21:03:08] iter 90: loss 2.4700, time 20.50ms, mfu 17.90%
[2024-12-27 21:03:08] iter 100: loss 2.4735, time 20.50ms, mfu 17.93%
[2024-12-27 21:03:09] iter 110: loss 2.4605, time 20.52ms, mfu 17.95%
[2024-12-27 21:03:09] iter 120: loss 2.4266, time 20.52ms, mfu 17.97%
[2024-12-27 21:03:09] iter 130: loss 2.4095, time 20.51ms, mfu 17.99%
[2024-12-27 21:03:09] iter 140: loss 2.3993, time 20.52ms, mfu 18.01%
[2024-12-27 21:03:09] iter 150: loss 2.4059, time 20.51ms, mfu 18.02%
[2024-12-27 21:03:10] iter 160: loss 2.3673, time 20.52ms, mfu 18.04%
[2024-12-27 21:03:10] iter 170: loss 2.3607, time 20.51ms, mfu 18.05%
[2024-12-27 21:03:10] iter 180: loss 2.3134, time 20.52ms, mfu 18.06%
[2024-12-27 21:03:10] iter 190: loss 2.2570, time 20.51ms, mfu 18.07%
[2024-12-27 21:03:10] iter 200: loss 2.2114, time 20.51ms, mfu 18.08%
[2024-12-27 21:03:11] iter 210: loss 2.1496, time 20.51ms, mfu 18.09%
[2024-12-27 21:03:11] iter 220: loss 2.1444, time 20.52ms, mfu 18.10%
[2024-12-27 21:03:11] iter 230: loss 2.0780, time 20.51ms, mfu 18.11%
[2024-12-27 21:03:11] iter 240: loss 2.0792, time 20.67ms, mfu 18.10%
[2024-12-27 21:03:14] step 250: train loss 1.9794, val loss 2.0773
[2024-12-27 21:03:14] saving checkpoint to out-shakespeare-char
[2024-12-27 21:03:14] iter 250: loss 2.0440, time 3087.56ms, mfu 16.30%
[2024-12-27 21:03:15] iter 260: loss 1.9757, time 20.49ms, mfu 16.49%
[2024-12-27 21:03:15] iter 270: loss 1.9775, time 20.53ms, mfu 16.65%
[2024-12-27 21:03:15] iter 280: loss 1.9753, time 20.51ms, mfu 16.81%
[2024-12-27 21:03:15] iter 290: loss 1.9141, time 20.53ms, mfu 16.94%
[2024-12-27 21:03:15] iter 300: loss 1.8980, time 20.51ms, mfu 17.06%
[2024-12-27 21:03:16] iter 310: loss 1.8667, time 20.52ms, mfu 17.17%
[2024-12-27 21:03:16] iter 320: loss 1.8517, time 20.50ms, mfu 17.27%
[2024-12-27 21:03:16] iter 330: loss 1.8174, time 20.52ms, mfu 17.36%
[2024-12-27 21:03:16] iter 340: loss 1.7828, time 20.51ms, mfu 17.44%
[2024-12-27 21:03:16] iter 350: loss 1.8299, time 20.51ms, mfu 17.51%
[2024-12-27 21:03:17] iter 360: loss 1.7655, time 20.51ms, mfu 17.58%
[2024-12-27 21:03:17] iter 370: loss 1.7533, time 20.53ms, mfu 17.64%
[2024-12-27 21:03:17] iter 380: loss 1.7314, time 20.52ms, mfu 17.69%
[2024-12-27 21:03:17] iter 390: loss 1.7334, time 20.52ms, mfu 17.74%
[2024-12-27 21:03:18] iter 400: loss 1.7602, time 20.51ms, mfu 17.78%
