[2024-12-16 19:05:24] tokens per iteration will be: 16,384
[2024-12-16 19:05:24] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2024-12-16 19:05:24] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2024-12-16 19:05:25] compiling the model... (takes a ~minute)
[2024-12-16 19:05:30] step 0: train loss 4.2874, val loss 4.2823
[2024-12-16 19:05:32] iter 0: loss 4.2654, time 7106.09ms, mfu -100.00%
[2024-12-16 19:05:32] iter 10: loss 3.1462, time 21.47ms, mfu 17.36%
[2024-12-16 19:05:33] iter 20: loss 2.7315, time 20.59ms, mfu 17.43%
[2024-12-16 19:05:33] iter 30: loss 2.6181, time 20.71ms, mfu 17.49%
[2024-12-16 19:05:33] iter 40: loss 2.5755, time 20.63ms, mfu 17.54%
[2024-12-16 19:05:33] iter 50: loss 2.5250, time 20.71ms, mfu 17.59%
[2024-12-16 19:05:34] iter 60: loss 2.5144, time 20.58ms, mfu 17.64%
[2024-12-16 19:05:34] iter 70: loss 2.4945, time 20.72ms, mfu 17.67%
[2024-12-16 19:05:34] iter 80: loss 2.4938, time 20.63ms, mfu 17.71%
[2024-12-16 19:05:34] iter 90: loss 2.4675, time 20.73ms, mfu 17.74%
[2024-12-16 19:05:34] iter 100: loss 2.4595, time 20.60ms, mfu 17.77%
[2024-12-16 19:05:35] iter 110: loss 2.4660, time 20.76ms, mfu 17.79%
[2024-12-16 19:05:35] iter 120: loss 2.4262, time 20.66ms, mfu 17.82%
[2024-12-16 19:05:35] iter 130: loss 2.4126, time 20.72ms, mfu 17.83%
[2024-12-16 19:05:35] iter 140: loss 2.4158, time 20.60ms, mfu 17.86%
[2024-12-16 19:05:35] iter 150: loss 2.4147, time 20.76ms, mfu 17.87%
[2024-12-16 19:05:36] iter 160: loss 2.3724, time 20.67ms, mfu 17.88%
[2024-12-16 19:05:36] iter 170: loss 2.3768, time 20.74ms, mfu 17.89%
[2024-12-16 19:05:36] iter 180: loss 2.3179, time 20.61ms, mfu 17.91%
[2024-12-16 19:05:36] iter 190: loss 2.2475, time 20.72ms, mfu 17.92%
[2024-12-16 19:05:36] iter 200: loss 2.2072, time 20.63ms, mfu 17.93%
[2024-12-16 19:05:37] iter 210: loss 2.1375, time 20.75ms, mfu 17.94%
[2024-12-16 19:05:37] iter 220: loss 2.1421, time 20.71ms, mfu 17.94%
[2024-12-16 19:05:37] iter 230: loss 2.0732, time 20.76ms, mfu 17.94%
[2024-12-16 19:05:37] iter 240: loss 2.0887, time 20.72ms, mfu 17.95%
[2024-12-16 19:05:40] step 250: train loss 1.9648, val loss 2.0630
[2024-12-16 19:05:40] saving checkpoint to out-shakespeare-char
[2024-12-16 19:05:41] iter 250: loss 2.0295, time 3140.99ms, mfu 16.16%
[2024-12-16 19:05:41] iter 260: loss 1.9767, time 20.74ms, mfu 16.34%
[2024-12-16 19:05:41] iter 270: loss 1.9851, time 20.70ms, mfu 16.51%
[2024-12-16 19:05:41] iter 280: loss 1.9784, time 20.77ms, mfu 16.65%
[2024-12-16 19:05:41] iter 290: loss 1.9150, time 20.82ms, mfu 16.78%
[2024-12-16 19:05:42] iter 300: loss 1.9008, time 20.81ms, mfu 16.89%
[2024-12-16 19:05:42] iter 310: loss 1.8669, time 20.82ms, mfu 16.99%
[2024-12-16 19:05:42] iter 320: loss 1.8501, time 20.82ms, mfu 17.08%
[2024-12-16 19:05:42] iter 330: loss 1.8217, time 20.83ms, mfu 17.16%
[2024-12-16 19:05:42] iter 340: loss 1.7789, time 20.81ms, mfu 17.24%
[2024-12-16 19:05:43] iter 350: loss 1.8331, time 20.77ms, mfu 17.31%
[2024-12-16 19:05:43] iter 360: loss 1.7717, time 20.83ms, mfu 17.36%
[2024-12-16 19:05:43] iter 370: loss 1.7401, time 20.83ms, mfu 17.42%
[2024-12-16 19:05:43] iter 380: loss 1.7338, time 20.81ms, mfu 17.47%
[2024-12-16 19:05:43] iter 390: loss 1.7276, time 20.83ms, mfu 17.51%
[2024-12-16 19:05:44] iter 400: loss 1.7640, time 20.82ms, mfu 17.55%
[2024-12-16 19:05:44] iter 410: loss 1.7017, time 20.83ms, mfu 17.58%
[2024-12-16 19:05:44] iter 420: loss 1.7115, time 20.83ms, mfu 17.61%
[2024-12-16 19:05:44] iter 430: loss 1.6851, time 20.82ms, mfu 17.64%
[2024-12-16 19:05:44] iter 440: loss 1.6524, time 20.76ms, mfu 17.67%
[2024-12-16 19:05:45] iter 450: loss 1.6538, time 20.83ms, mfu 17.69%
[2024-12-16 19:05:45] iter 460: loss 1.5921, time 20.81ms, mfu 17.71%
[2024-12-16 19:05:45] iter 470: loss 1.6469, time 20.83ms, mfu 17.73%
[2024-12-16 19:05:45] iter 480: loss 1.6239, time 20.81ms, mfu 17.75%
[2024-12-16 19:05:46] iter 490: loss 1.6006, time 20.82ms, mfu 17.76%
[2024-12-16 19:05:49] step 500: train loss 1.5222, val loss 1.7141
[2024-12-16 19:05:49] saving checkpoint to out-shakespeare-char
[2024-12-16 19:05:49] iter 500: loss 1.6025, time 3139.22ms, mfu 16.00%
[2024-12-16 19:05:49] iter 510: loss 1.6132, time 20.82ms, mfu 16.19%
[2024-12-16 19:05:49] iter 520: loss 1.5880, time 20.80ms, mfu 16.36%
[2024-12-16 19:05:49] iter 530: loss 1.5582, time 20.83ms, mfu 16.51%
[2024-12-16 19:05:50] iter 540: loss 1.6174, time 20.78ms, mfu 16.66%
[2024-12-16 19:05:50] iter 550: loss 1.5603, time 20.82ms, mfu 16.78%
[2024-12-16 19:05:50] iter 560: loss 1.5603, time 20.82ms, mfu 16.89%
[2024-12-16 19:05:50] iter 570: loss 1.5611, time 20.83ms, mfu 16.99%
[2024-12-16 19:05:50] iter 580: loss 1.5310, time 20.81ms, mfu 17.08%
