[2024-12-17 00:50:34] tokens per iteration will be: 16,384
[2024-12-17 00:50:34] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2024-12-17 00:50:34] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2024-12-17 00:50:35] compiling the model... (takes a ~minute)
[2024-12-17 00:50:40] step 0: train loss 4.2874, val loss 4.2823
[2024-12-17 00:50:42] iter 0: loss 4.2654, time 6952.36ms, mfu -100.00%
[2024-12-17 00:50:42] iter 10: loss 3.1462, time 20.48ms, mfu 18.20%
[2024-12-17 00:50:42] iter 20: loss 2.7320, time 20.49ms, mfu 18.19%
[2024-12-17 00:50:43] iter 30: loss 2.6183, time 20.50ms, mfu 18.19%
[2024-12-17 00:50:43] iter 40: loss 2.5756, time 20.50ms, mfu 18.19%
[2024-12-17 00:50:43] iter 50: loss 2.5249, time 20.50ms, mfu 18.19%
[2024-12-17 00:50:43] iter 60: loss 2.5144, time 20.48ms, mfu 18.19%
[2024-12-17 00:50:43] iter 70: loss 2.4948, time 20.53ms, mfu 18.19%
[2024-12-17 00:50:44] iter 80: loss 2.4935, time 20.49ms, mfu 18.19%
[2024-12-17 00:50:44] iter 90: loss 2.4691, time 20.50ms, mfu 18.19%
[2024-12-17 00:50:44] iter 100: loss 2.4611, time 20.51ms, mfu 18.18%
[2024-12-17 00:50:44] iter 110: loss 2.4613, time 20.47ms, mfu 18.19%
[2024-12-17 00:50:45] iter 120: loss 2.4272, time 20.82ms, mfu 18.16%
[2024-12-17 00:50:45] iter 130: loss 2.4154, time 20.49ms, mfu 18.16%
[2024-12-17 00:50:45] iter 140: loss 2.3990, time 20.50ms, mfu 18.16%
[2024-12-17 00:50:45] iter 150: loss 2.4060, time 20.48ms, mfu 18.16%
[2024-12-17 00:50:45] iter 160: loss 2.3722, time 20.49ms, mfu 18.17%
[2024-12-17 00:50:46] iter 170: loss 2.3701, time 20.48ms, mfu 18.17%
[2024-12-17 00:50:46] iter 180: loss 2.3182, time 20.50ms, mfu 18.17%
[2024-12-17 00:50:46] iter 190: loss 2.2599, time 20.49ms, mfu 18.17%
[2024-12-17 00:50:46] iter 200: loss 2.2118, time 20.49ms, mfu 18.17%
[2024-12-17 00:50:46] iter 210: loss 2.1402, time 20.49ms, mfu 18.17%
[2024-12-17 00:50:47] iter 220: loss 2.1422, time 20.49ms, mfu 18.18%
[2024-12-17 00:50:47] iter 230: loss 2.0809, time 20.50ms, mfu 18.18%
[2024-12-17 00:50:47] iter 240: loss 2.0776, time 20.49ms, mfu 18.18%
[2024-12-17 00:50:50] step 250: train loss 1.9783, val loss 2.0727
[2024-12-17 00:50:50] saving checkpoint to out-shakespeare-char
[2024-12-17 00:50:50] iter 250: loss 2.0420, time 3093.53ms, mfu 16.37%
[2024-12-17 00:50:50] iter 260: loss 1.9822, time 20.55ms, mfu 16.55%
[2024-12-17 00:50:51] iter 270: loss 1.9800, time 20.53ms, mfu 16.71%
[2024-12-17 00:50:51] iter 280: loss 1.9806, time 20.54ms, mfu 16.85%
[2024-12-17 00:50:51] iter 290: loss 1.9148, time 20.57ms, mfu 16.98%
[2024-12-17 00:50:51] iter 300: loss 1.9015, time 20.52ms, mfu 17.10%
[2024-12-17 00:50:51] iter 310: loss 1.8682, time 20.51ms, mfu 17.20%
[2024-12-17 00:50:52] iter 320: loss 1.8564, time 20.53ms, mfu 17.30%
[2024-12-17 00:50:52] iter 330: loss 1.8203, time 20.53ms, mfu 17.38%
