[2024-12-17 00:05:17] tokens per iteration will be: 16,384
[2024-12-17 00:05:17] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2024-12-17 00:05:17] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2024-12-17 00:05:17] compiling the model... (takes a ~minute)
[2024-12-17 00:05:22] step 0: train loss 4.2874, val loss 4.2823
[2024-12-17 00:05:25] iter 0: loss 4.2654, time 6928.49ms, mfu -100.00%
[2024-12-17 00:05:25] iter 10: loss 3.1462, time 20.93ms, mfu 17.81%
[2024-12-17 00:05:25] iter 20: loss 2.7312, time 20.48ms, mfu 17.84%
[2024-12-17 00:05:25] iter 30: loss 2.6179, time 20.50ms, mfu 17.88%
[2024-12-17 00:05:25] iter 40: loss 2.5755, time 20.49ms, mfu 17.91%
[2024-12-17 00:05:26] iter 50: loss 2.5251, time 20.52ms, mfu 17.93%
[2024-12-17 00:05:26] iter 60: loss 2.5141, time 20.53ms, mfu 17.95%
[2024-12-17 00:05:26] iter 70: loss 2.4945, time 20.54ms, mfu 17.97%
[2024-12-17 00:05:26] iter 80: loss 2.4938, time 20.54ms, mfu 17.99%
[2024-12-17 00:05:27] iter 90: loss 2.4683, time 20.53ms, mfu 18.01%
[2024-12-17 00:05:27] iter 100: loss 2.4593, time 20.55ms, mfu 18.02%
[2024-12-17 00:05:27] iter 110: loss 2.4598, time 20.53ms, mfu 18.03%
[2024-12-17 00:05:27] iter 120: loss 2.4275, time 20.53ms, mfu 18.04%
[2024-12-17 00:05:27] iter 130: loss 2.4165, time 20.53ms, mfu 18.05%
[2024-12-17 00:05:28] iter 140: loss 2.4066, time 20.53ms, mfu 18.06%
[2024-12-17 00:05:28] iter 150: loss 2.4118, time 20.53ms, mfu 18.07%
[2024-12-17 00:05:28] iter 160: loss 2.3707, time 20.53ms, mfu 18.08%
[2024-12-17 00:05:28] iter 170: loss 2.3597, time 20.55ms, mfu 18.09%
[2024-12-17 00:05:28] iter 180: loss 2.3133, time 20.52ms, mfu 18.09%
[2024-12-17 00:05:29] iter 190: loss 2.2621, time 20.55ms, mfu 18.10%
[2024-12-17 00:05:29] iter 200: loss 2.2260, time 20.53ms, mfu 18.10%
[2024-12-17 00:05:29] iter 210: loss 2.1436, time 20.53ms, mfu 18.11%
[2024-12-17 00:05:29] iter 220: loss 2.1423, time 20.52ms, mfu 18.11%
[2024-12-17 00:05:29] iter 230: loss 2.0706, time 20.54ms, mfu 18.12%
[2024-12-17 00:05:30] iter 240: loss 2.0764, time 20.55ms, mfu 18.12%
[2024-12-17 00:05:33] step 250: train loss 1.9702, val loss 2.0666
[2024-12-17 00:05:33] saving checkpoint to out-shakespeare-char
[2024-12-17 00:05:33] iter 250: loss 2.0341, time 3097.04ms, mfu 16.32%
[2024-12-17 00:05:33] iter 260: loss 1.9794, time 20.53ms, mfu 16.50%
[2024-12-17 00:05:33] iter 270: loss 1.9829, time 20.53ms, mfu 16.66%
[2024-12-17 00:05:33] iter 280: loss 1.9806, time 20.53ms, mfu 16.81%
[2024-12-17 00:05:34] iter 290: loss 1.9157, time 20.54ms, mfu 16.95%
[2024-12-17 00:05:34] iter 300: loss 1.8916, time 20.53ms, mfu 17.07%
[2024-12-17 00:05:34] iter 310: loss 1.8609, time 20.53ms, mfu 17.18%
[2024-12-17 00:05:34] iter 320: loss 1.8488, time 20.53ms, mfu 17.27%
[2024-12-17 00:05:34] iter 330: loss 1.8181, time 20.52ms, mfu 17.36%
