[2025-01-05 21:43:41] tokens per iteration will be: 16,384
[2025-01-05 21:43:41] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2025-01-05 21:43:41] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2025-01-05 21:43:41] compiling the model... (takes a ~minute)
[2025-01-05 21:43:46] step 0: train loss 4.2874, val loss 4.2823
[2025-01-05 21:43:49] iter 0: loss 4.2654, time 6917.01ms, mfu -100.00%
[2025-01-05 21:43:49] iter 10: loss 3.1462, time 21.08ms, mfu 17.68%
[2025-01-05 21:43:49] iter 20: loss 2.7312, time 20.53ms, mfu 17.73%
[2025-01-05 21:43:49] iter 30: loss 2.6179, time 20.52ms, mfu 17.77%
[2025-01-05 21:43:50] iter 40: loss 2.5754, time 20.53ms, mfu 17.81%
[2025-01-05 21:43:50] iter 50: loss 2.5249, time 20.54ms, mfu 17.84%
[2025-01-05 21:43:50] iter 60: loss 2.5142, time 20.51ms, mfu 17.87%
[2025-01-05 21:43:50] iter 70: loss 2.4946, time 20.54ms, mfu 17.90%
[2025-01-05 21:43:50] iter 80: loss 2.4938, time 20.53ms, mfu 17.93%
[2025-01-05 21:43:51] iter 90: loss 2.4685, time 20.53ms, mfu 17.95%
[2025-01-05 21:43:51] iter 100: loss 2.4603, time 20.53ms, mfu 17.97%
[2025-01-05 21:43:51] iter 110: loss 2.4606, time 20.53ms, mfu 17.99%
[2025-01-05 21:43:51] iter 120: loss 2.4258, time 20.53ms, mfu 18.00%
[2025-01-05 21:43:51] iter 130: loss 2.4093, time 20.52ms, mfu 18.02%
[2025-01-05 21:43:52] iter 140: loss 2.4214, time 20.53ms, mfu 18.03%
[2025-01-05 21:43:52] iter 150: loss 2.4206, time 20.53ms, mfu 18.04%
[2025-01-05 21:43:52] iter 160: loss 2.3774, time 20.53ms, mfu 18.05%
[2025-01-05 21:43:52] iter 170: loss 2.3501, time 20.53ms, mfu 18.06%
[2025-01-05 21:43:52] iter 180: loss 2.3298, time 20.53ms, mfu 18.07%
[2025-01-05 21:43:53] iter 190: loss 2.2565, time 20.53ms, mfu 18.08%
[2025-01-05 21:43:53] iter 200: loss 2.2141, time 20.52ms, mfu 18.09%
[2025-01-05 21:43:53] iter 210: loss 2.1397, time 20.52ms, mfu 18.09%
[2025-01-05 21:43:53] iter 220: loss 2.1502, time 20.53ms, mfu 18.10%
[2025-01-05 21:43:53] iter 230: loss 2.0759, time 20.52ms, mfu 18.11%
[2025-01-05 21:43:54] iter 240: loss 2.0796, time 20.53ms, mfu 18.11%
[2025-01-05 21:43:57] step 250: train loss 1.9660, val loss 2.0695
[2025-01-05 21:43:57] saving checkpoint to out-shakespeare-char
[2025-01-05 21:43:57] iter 250: loss 2.0282, time 3083.91ms, mfu 16.31%
[2025-01-05 21:43:57] iter 260: loss 1.9841, time 20.53ms, mfu 16.50%
[2025-01-05 21:43:57] iter 270: loss 1.9767, time 20.54ms, mfu 16.66%
[2025-01-05 21:43:57] iter 280: loss 1.9762, time 20.54ms, mfu 16.81%
[2025-01-05 21:43:58] iter 290: loss 1.9123, time 20.54ms, mfu 16.94%
[2025-01-05 21:43:58] iter 300: loss 1.8979, time 20.52ms, mfu 17.06%
[2025-01-05 21:43:58] iter 310: loss 1.8682, time 20.55ms, mfu 17.17%
[2025-01-05 21:43:58] iter 320: loss 1.8515, time 20.53ms, mfu 17.27%
[2025-01-05 21:43:59] iter 330: loss 1.8163, time 20.53ms, mfu 17.36%
[2025-01-05 21:43:59] iter 340: loss 1.7927, time 20.53ms, mfu 17.44%
[2025-01-05 21:43:59] iter 350: loss 1.8296, time 20.53ms, mfu 17.51%
[2025-01-05 21:43:59] iter 360: loss 1.7774, time 20.53ms, mfu 17.57%
[2025-01-05 21:43:59] iter 370: loss 1.7457, time 20.52ms, mfu 17.63%
[2025-01-05 21:44:00] iter 380: loss 1.7282, time 20.53ms, mfu 17.68%
[2025-01-05 21:44:00] iter 390: loss 1.7277, time 20.54ms, mfu 17.73%
[2025-01-05 21:44:00] iter 400: loss 1.7787, time 20.54ms, mfu 17.77%
[2025-01-05 21:44:00] iter 410: loss 1.7007, time 20.54ms, mfu 17.81%
[2025-01-05 21:44:00] iter 420: loss 1.7211, time 20.53ms, mfu 17.84%
[2025-01-05 21:44:01] iter 430: loss 1.6881, time 20.53ms, mfu 17.87%
[2025-01-05 21:44:01] iter 440: loss 1.6485, time 20.52ms, mfu 17.90%
[2025-01-05 21:44:01] iter 450: loss 1.6549, time 20.52ms, mfu 17.93%
[2025-01-05 21:44:01] iter 460: loss 1.5998, time 20.53ms, mfu 17.95%
[2025-01-05 21:44:01] iter 470: loss 1.6477, time 20.54ms, mfu 17.97%
[2025-01-05 21:44:02] iter 480: loss 1.6203, time 20.55ms, mfu 17.99%
[2025-01-05 21:44:02] iter 490: loss 1.6018, time 20.54ms, mfu 18.00%
[2025-01-05 21:44:05] step 500: train loss 1.5205, val loss 1.7159
[2025-01-05 21:44:05] saving checkpoint to out-shakespeare-char
[2025-01-05 21:44:05] iter 500: loss 1.5975, time 3085.01ms, mfu 16.21%
[2025-01-05 21:44:05] iter 510: loss 1.6119, time 20.44ms, mfu 16.41%
[2025-01-05 21:44:05] iter 520: loss 1.5892, time 20.55ms, mfu 16.59%
[2025-01-05 21:44:06] iter 530: loss 1.5558, time 20.52ms, mfu 16.74%
[2025-01-05 21:44:06] iter 540: loss 1.6130, time 20.53ms, mfu 16.88%
[2025-01-05 21:44:06] iter 550: loss 1.5589, time 20.53ms, mfu 17.01%
[2025-01-05 21:44:06] iter 560: loss 1.5636, time 20.53ms, mfu 17.12%
[2025-01-05 21:44:06] iter 570: loss 1.5660, time 20.52ms, mfu 17.23%
[2025-01-05 21:44:07] iter 580: loss 1.5279, time 20.54ms, mfu 17.32%
[2025-01-05 21:44:07] iter 590: loss 1.4956, time 20.53ms, mfu 17.40%
[2025-01-05 21:44:07] iter 600: loss 1.5143, time 20.54ms, mfu 17.48%
[2025-01-05 21:44:07] iter 610: loss 1.5514, time 20.55ms, mfu 17.54%
[2025-01-05 21:44:07] iter 620: loss 1.5348, time 20.53ms, mfu 17.60%
[2025-01-05 21:44:08] iter 630: loss 1.5068, time 20.54ms, mfu 17.66%
[2025-01-05 21:44:08] iter 640: loss 1.4656, time 20.55ms, mfu 17.70%
[2025-01-05 21:44:08] iter 650: loss 1.5070, time 20.54ms, mfu 17.75%
[2025-01-05 21:44:08] iter 660: loss 1.5062, time 20.71ms, mfu 17.77%
[2025-01-05 21:44:09] iter 670: loss 1.4448, time 20.53ms, mfu 17.81%
[2025-01-05 21:44:09] iter 680: loss 1.5070, time 20.54ms, mfu 17.84%
[2025-01-05 21:44:09] iter 690: loss 1.4648, time 20.54ms, mfu 17.87%
[2025-01-05 21:44:09] iter 700: loss 1.4829, time 20.52ms, mfu 17.90%
[2025-01-05 21:44:09] iter 710: loss 1.4601, time 20.53ms, mfu 17.93%
[2025-01-05 21:44:10] iter 720: loss 1.4428, time 20.55ms, mfu 17.95%
[2025-01-05 21:44:10] iter 730: loss 1.4264, time 20.54ms, mfu 17.97%
[2025-01-05 21:44:10] iter 740: loss 1.4312, time 20.55ms, mfu 17.98%
[2025-01-05 21:44:13] step 750: train loss 1.3666, val loss 1.5945
[2025-01-05 21:44:13] saving checkpoint to out-shakespeare-char
[2025-01-05 21:44:13] iter 750: loss 1.4239, time 3085.93ms, mfu 16.20%
[2025-01-05 21:44:13] iter 760: loss 1.4486, time 20.53ms, mfu 16.39%
[2025-01-05 21:44:14] iter 770: loss 1.4307, time 20.48ms, mfu 16.57%
[2025-01-05 21:44:14] iter 780: loss 1.4184, time 20.54ms, mfu 16.73%
[2025-01-05 21:44:14] iter 790: loss 1.4164, time 20.54ms, mfu 16.87%
