[2025-01-05 20:30:07] tokens per iteration will be: 16,384
[2025-01-05 20:30:07] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2025-01-05 20:30:07] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2025-01-05 20:30:07] compiling the model... (takes a ~minute)
[2025-01-05 20:30:13] step 0: train loss 4.2874, val loss 4.2823
[2025-01-05 20:30:15] iter 0: loss 4.2654, time 7080.46ms, mfu -100.00%
[2025-01-05 20:30:15] iter 10: loss 3.1461, time 21.29ms, mfu 17.50%
[2025-01-05 20:30:15] iter 20: loss 2.7324, time 20.48ms, mfu 17.57%
[2025-01-05 20:30:16] iter 30: loss 2.6185, time 20.54ms, mfu 17.63%
[2025-01-05 20:30:16] iter 40: loss 2.5758, time 20.53ms, mfu 17.68%
[2025-01-05 20:30:16] iter 50: loss 2.5249, time 20.53ms, mfu 17.73%
[2025-01-05 20:30:16] iter 60: loss 2.5145, time 20.52ms, mfu 17.77%
[2025-01-05 20:30:16] iter 70: loss 2.4949, time 20.53ms, mfu 17.81%
[2025-01-05 20:30:17] iter 80: loss 2.4933, time 20.54ms, mfu 17.84%
[2025-01-05 20:30:17] iter 90: loss 2.4691, time 20.53ms, mfu 17.87%
[2025-01-05 20:30:17] iter 100: loss 2.4603, time 20.53ms, mfu 17.90%
[2025-01-05 20:30:17] iter 110: loss 2.4614, time 20.52ms, mfu 17.93%
[2025-01-05 20:30:18] iter 120: loss 2.4264, time 20.53ms, mfu 17.95%
[2025-01-05 20:30:18] iter 130: loss 2.4099, time 20.53ms, mfu 17.97%
[2025-01-05 20:30:18] iter 140: loss 2.4084, time 20.53ms, mfu 17.99%
[2025-01-05 20:30:18] iter 150: loss 2.4077, time 20.52ms, mfu 18.01%
[2025-01-05 20:30:18] iter 160: loss 2.3645, time 20.55ms, mfu 18.02%
[2025-01-05 20:30:19] iter 170: loss 2.3609, time 20.53ms, mfu 18.03%
[2025-01-05 20:30:19] iter 180: loss 2.3135, time 20.52ms, mfu 18.04%
[2025-01-05 20:30:19] iter 190: loss 2.2561, time 20.52ms, mfu 18.06%
[2025-01-05 20:30:19] iter 200: loss 2.2092, time 20.53ms, mfu 18.06%
[2025-01-05 20:30:19] iter 210: loss 2.1394, time 20.53ms, mfu 18.07%
[2025-01-05 20:30:20] iter 220: loss 2.1432, time 20.54ms, mfu 18.08%
[2025-01-05 20:30:20] iter 230: loss 2.0741, time 20.53ms, mfu 18.09%
[2025-01-05 20:30:20] iter 240: loss 2.0839, time 20.52ms, mfu 18.09%
[2025-01-05 20:30:23] step 250: train loss 1.9735, val loss 2.0736
