[2024-12-27 16:47:19] tokens per iteration will be: 16,384
[2024-12-27 16:47:19] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2024-12-27 16:47:19] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2024-12-27 16:47:19] compiling the model... (takes a ~minute)
[2024-12-27 16:47:25] step 0: train loss 4.2874, val loss 4.2823
[2024-12-27 16:47:27] iter 0: loss 4.2654, time 7129.60ms, mfu -100.00%
[2024-12-27 16:47:27] iter 10: loss 3.1461, time 20.41ms, mfu 18.25%
[2024-12-27 16:47:27] iter 20: loss 2.7309, time 20.47ms, mfu 18.25%
[2024-12-27 16:47:28] iter 30: loss 2.6176, time 20.49ms, mfu 18.24%
[2024-12-27 16:47:28] iter 40: loss 2.5753, time 20.50ms, mfu 18.24%
[2024-12-27 16:47:28] iter 50: loss 2.5249, time 20.51ms, mfu 18.23%
[2024-12-27 16:47:28] iter 60: loss 2.5142, time 20.49ms, mfu 18.23%
[2024-12-27 16:47:28] iter 70: loss 2.4947, time 20.49ms, mfu 18.22%
[2024-12-27 16:47:29] iter 80: loss 2.4934, time 20.50ms, mfu 18.22%
[2024-12-27 16:47:29] iter 90: loss 2.4700, time 20.40ms, mfu 18.22%
[2024-12-27 16:47:29] iter 100: loss 2.4821, time 20.49ms, mfu 18.22%
[2024-12-27 16:47:29] iter 110: loss 2.4613, time 20.59ms, mfu 18.21%
[2024-12-27 16:47:29] iter 120: loss 2.4265, time 20.51ms, mfu 18.20%
[2024-12-27 16:47:30] iter 130: loss 2.4099, time 20.50ms, mfu 18.20%
[2024-12-27 16:47:30] iter 140: loss 2.4124, time 20.49ms, mfu 18.20%
[2024-12-27 16:47:30] iter 150: loss 2.4166, time 20.50ms, mfu 18.20%
[2024-12-27 16:47:30] iter 160: loss 2.3697, time 20.40ms, mfu 18.20%
[2024-12-27 16:47:30] iter 170: loss 2.3518, time 20.50ms, mfu 18.20%
[2024-12-27 16:47:31] iter 180: loss 2.3177, time 20.49ms, mfu 18.20%
[2024-12-27 16:47:31] iter 190: loss 2.2564, time 20.50ms, mfu 18.20%
[2024-12-27 16:47:31] iter 200: loss 2.2193, time 20.51ms, mfu 18.19%
[2024-12-27 16:47:31] iter 210: loss 2.1437, time 20.50ms, mfu 18.19%
[2024-12-27 16:47:31] iter 220: loss 2.1480, time 20.50ms, mfu 18.19%
[2024-12-27 16:47:32] iter 230: loss 2.0713, time 20.48ms, mfu 18.19%
[2024-12-27 16:47:32] iter 240: loss 2.0798, time 20.50ms, mfu 18.19%
[2024-12-27 16:47:35] step 250: train loss 1.9722, val loss 2.0751
[2024-12-27 16:47:35] saving checkpoint to out-shakespeare-char
