[2025-01-05 18:46:00] tokens per iteration will be: 16,384
[2025-01-05 18:46:00] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2025-01-05 18:46:00] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2025-01-05 18:46:01] compiling the model... (takes a ~minute)
[2025-01-05 18:46:06] step 0: train loss 4.2874, val loss 4.2823
[2025-01-05 18:46:08] iter 0: loss 4.2654, time 7126.42ms, mfu -100.00%
[2025-01-05 18:46:09] iter 10: loss 3.1462, time 21.27ms, mfu 17.52%
[2025-01-05 18:46:09] iter 20: loss 2.7312, time 20.49ms, mfu 17.59%
[2025-01-05 18:46:09] iter 30: loss 2.6178, time 20.54ms, mfu 17.64%
[2025-01-05 18:46:09] iter 40: loss 2.5754, time 20.53ms, mfu 17.69%
[2025-01-05 18:46:09] iter 50: loss 2.5250, time 20.53ms, mfu 17.74%
[2025-01-05 18:46:10] iter 60: loss 2.5142, time 20.53ms, mfu 17.78%
[2025-01-05 18:46:10] iter 70: loss 2.4946, time 20.53ms, mfu 17.82%
[2025-01-05 18:46:10] iter 80: loss 2.4936, time 20.54ms, mfu 17.85%
[2025-01-05 18:46:10] iter 90: loss 2.4690, time 20.53ms, mfu 17.88%
[2025-01-05 18:46:10] iter 100: loss 2.4627, time 20.54ms, mfu 17.91%
[2025-01-05 18:46:11] iter 110: loss 2.4620, time 20.52ms, mfu 17.93%
[2025-01-05 18:46:11] iter 120: loss 2.4277, time 20.53ms, mfu 17.95%
[2025-01-05 18:46:11] iter 130: loss 2.4118, time 20.53ms, mfu 17.97%
[2025-01-05 18:46:11] iter 140: loss 2.4061, time 20.53ms, mfu 17.99%
[2025-01-05 18:46:11] iter 150: loss 2.4096, time 20.53ms, mfu 18.01%
[2025-01-05 18:46:12] iter 160: loss 2.3716, time 20.53ms, mfu 18.02%
[2025-01-05 18:46:12] iter 170: loss 2.3694, time 20.52ms, mfu 18.03%
[2025-01-05 18:46:12] iter 180: loss 2.3235, time 20.53ms, mfu 18.05%
[2025-01-05 18:46:12] iter 190: loss 2.2517, time 20.54ms, mfu 18.06%
[2025-01-05 18:46:12] iter 200: loss 2.2088, time 20.53ms, mfu 18.06%
[2025-01-05 18:46:13] iter 210: loss 2.1394, time 20.53ms, mfu 18.07%
[2025-01-05 18:46:13] iter 220: loss 2.1638, time 20.53ms, mfu 18.08%
[2025-01-05 18:46:13] iter 230: loss 2.0699, time 20.53ms, mfu 18.09%
[2025-01-05 18:46:13] iter 240: loss 2.0825, time 20.52ms, mfu 18.10%
[2025-01-05 18:46:16] step 250: train loss 1.9664, val loss 2.0678
[2025-01-05 18:46:16] saving checkpoint to out-shakespeare-char
[2025-01-05 18:46:17] iter 250: loss 2.0348, time 3121.97ms, mfu 16.30%
[2025-01-05 18:46:17] iter 260: loss 1.9834, time 20.54ms, mfu 16.48%
[2025-01-05 18:46:17] iter 270: loss 1.9776, time 20.53ms, mfu 16.65%
[2025-01-05 18:46:17] iter 280: loss 1.9757, time 20.54ms, mfu 16.80%
[2025-01-05 18:46:17] iter 290: loss 1.9113, time 20.54ms, mfu 16.93%
[2025-01-05 18:46:18] iter 300: loss 1.8927, time 20.54ms, mfu 17.05%
[2025-01-05 18:46:18] iter 310: loss 1.8701, time 20.54ms, mfu 17.16%
[2025-01-05 18:46:18] iter 320: loss 1.8508, time 20.53ms, mfu 17.26%
[2025-01-05 18:46:18] iter 330: loss 1.8212, time 20.53ms, mfu 17.35%
[2025-01-05 18:46:18] iter 340: loss 1.7903, time 20.54ms, mfu 17.43%
[2025-01-05 18:46:19] iter 350: loss 1.8256, time 20.53ms, mfu 17.50%
[2025-01-05 18:46:19] iter 360: loss 1.7745, time 20.52ms, mfu 17.57%
[2025-01-05 18:46:19] iter 370: loss 1.7412, time 20.53ms, mfu 17.63%
[2025-01-05 18:46:19] iter 380: loss 1.7314, time 20.54ms, mfu 17.68%
[2025-01-05 18:46:19] iter 390: loss 1.7259, time 20.55ms, mfu 17.72%
[2025-01-05 18:46:20] iter 400: loss 1.7670, time 20.54ms, mfu 17.76%
[2025-01-05 18:46:20] iter 410: loss 1.6989, time 20.53ms, mfu 17.80%
[2025-01-05 18:46:20] iter 420: loss 1.7148, time 20.53ms, mfu 17.84%
[2025-01-05 18:46:20] iter 430: loss 1.6834, time 20.52ms, mfu 17.87%
[2025-01-05 18:46:20] iter 440: loss 1.6490, time 20.53ms, mfu 17.90%
[2025-01-05 18:46:21] iter 450: loss 1.6453, time 20.53ms, mfu 17.92%
[2025-01-05 18:46:21] iter 460: loss 1.5991, time 20.53ms, mfu 17.95%
[2025-01-05 18:46:21] iter 470: loss 1.6450, time 20.55ms, mfu 17.96%
[2025-01-05 18:46:21] iter 480: loss 1.6153, time 20.53ms, mfu 17.98%
[2025-01-05 18:46:21] iter 490: loss 1.6005, time 20.54ms, mfu 18.00%
[2025-01-05 18:46:25] step 500: train loss 1.5179, val loss 1.7241
[2025-01-05 18:46:25] saving checkpoint to out-shakespeare-char
[2025-01-05 18:46:25] iter 500: loss 1.5924, time 3120.63ms, mfu 16.21%
[2025-01-05 18:46:25] iter 510: loss 1.6094, time 20.53ms, mfu 16.40%
[2025-01-05 18:46:25] iter 520: loss 1.5887, time 20.53ms, mfu 16.58%
[2025-01-05 18:46:25] iter 530: loss 1.5551, time 20.53ms, mfu 16.74%
[2025-01-05 18:46:26] iter 540: loss 1.6109, time 20.55ms, mfu 16.88%
[2025-01-05 18:46:26] iter 550: loss 1.5547, time 20.54ms, mfu 17.00%
[2025-01-05 18:46:26] iter 560: loss 1.5534, time 20.53ms, mfu 17.12%
[2025-01-05 18:46:26] iter 570: loss 1.5585, time 20.54ms, mfu 17.22%
[2025-01-05 18:46:26] iter 580: loss 1.5231, time 20.54ms, mfu 17.31%
[2025-01-05 18:46:27] iter 590: loss 1.4870, time 20.54ms, mfu 17.40%
[2025-01-05 18:46:27] iter 600: loss 1.5088, time 20.53ms, mfu 17.47%
[2025-01-05 18:46:27] iter 610: loss 1.5481, time 20.54ms, mfu 17.54%
