[2025-01-05 16:44:50] tokens per iteration will be: 16,384
[2025-01-05 16:44:50] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2025-01-05 16:44:50] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2025-01-05 16:44:51] compiling the model... (takes a ~minute)
[2025-01-05 16:44:56] step 0: train loss 4.2874, val loss 4.2823
[2025-01-05 16:44:58] iter 0: loss 4.2654, time 7010.54ms, mfu -100.00%
[2025-01-05 16:44:58] iter 10: loss 3.1461, time 21.25ms, mfu 17.54%
[2025-01-05 16:44:59] iter 20: loss 2.7313, time 20.49ms, mfu 17.60%
[2025-01-05 16:44:59] iter 30: loss 2.6180, time 20.53ms, mfu 17.66%
[2025-01-05 16:44:59] iter 40: loss 2.5754, time 20.54ms, mfu 17.71%
[2025-01-05 16:44:59] iter 50: loss 2.5250, time 20.53ms, mfu 17.75%
[2025-01-05 16:44:59] iter 60: loss 2.5142, time 20.53ms, mfu 17.79%
[2025-01-05 16:45:00] iter 70: loss 2.4945, time 20.52ms, mfu 17.83%
[2025-01-05 16:45:00] iter 80: loss 2.4937, time 20.51ms, mfu 17.86%
[2025-01-05 16:45:00] iter 90: loss 2.4687, time 20.52ms, mfu 17.89%
[2025-01-05 16:45:00] iter 100: loss 2.4605, time 20.51ms, mfu 17.92%
[2025-01-05 16:45:00] iter 110: loss 2.4619, time 20.53ms, mfu 17.94%
[2025-01-05 16:45:01] iter 120: loss 2.4276, time 20.54ms, mfu 17.96%
[2025-01-05 16:45:01] iter 130: loss 2.4158, time 20.54ms, mfu 17.98%
[2025-01-05 16:45:01] iter 140: loss 2.4023, time 20.53ms, mfu 18.00%
[2025-01-05 16:45:01] iter 150: loss 2.4117, time 20.53ms, mfu 18.01%
[2025-01-05 16:45:01] iter 160: loss 2.3690, time 20.52ms, mfu 18.03%
[2025-01-05 16:45:02] iter 170: loss 2.3819, time 20.53ms, mfu 18.04%
[2025-01-05 16:45:02] iter 180: loss 2.3116, time 20.54ms, mfu 18.05%
[2025-01-05 16:45:02] iter 190: loss 2.2614, time 20.54ms, mfu 18.06%
[2025-01-05 16:45:02] iter 200: loss 2.2088, time 20.53ms, mfu 18.07%
[2025-01-05 16:45:02] iter 210: loss 2.1446, time 20.53ms, mfu 18.08%
[2025-01-05 16:45:03] iter 220: loss 2.1469, time 20.51ms, mfu 18.09%
[2025-01-05 16:45:03] iter 230: loss 2.0725, time 20.54ms, mfu 18.09%
[2025-01-05 16:45:03] iter 240: loss 2.0775, time 20.53ms, mfu 18.10%
[2025-01-05 16:45:06] step 250: train loss 1.9644, val loss 2.0662
[2025-01-05 16:45:06] saving checkpoint to out-shakespeare-char
[2025-01-05 16:45:06] iter 250: loss 2.0300, time 3073.01ms, mfu 16.30%
[2025-01-05 16:45:07] iter 260: loss 1.9815, time 20.53ms, mfu 16.48%
[2025-01-05 16:45:07] iter 270: loss 1.9816, time 20.52ms, mfu 16.65%
[2025-01-05 16:45:07] iter 280: loss 1.9895, time 20.53ms, mfu 16.80%
[2025-01-05 16:45:07] iter 290: loss 1.9143, time 20.51ms, mfu 16.94%
[2025-01-05 16:45:07] iter 300: loss 1.8987, time 20.53ms, mfu 17.06%
[2025-01-05 16:45:08] iter 310: loss 1.8681, time 20.53ms, mfu 17.17%
[2025-01-05 16:45:08] iter 320: loss 1.8464, time 20.53ms, mfu 17.27%
[2025-01-05 16:45:08] iter 330: loss 1.8220, time 20.53ms, mfu 17.36%
[2025-01-05 16:45:08] iter 340: loss 1.7942, time 20.53ms, mfu 17.44%
[2025-01-05 16:45:08] iter 350: loss 1.8256, time 20.53ms, mfu 17.51%
[2025-01-05 16:45:09] iter 360: loss 1.7729, time 20.52ms, mfu 17.57%
[2025-01-05 16:45:09] iter 370: loss 1.7429, time 20.54ms, mfu 17.63%
[2025-01-05 16:45:09] iter 380: loss 1.7275, time 20.54ms, mfu 17.68%
