[2024-12-16 21:54:55] tokens per iteration will be: 16,384
[2024-12-16 21:54:55] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2024-12-16 21:54:55] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2024-12-16 21:54:55] compiling the model... (takes a ~minute)
[2024-12-16 21:55:00] step 0: train loss 4.2874, val loss 4.2823
[2024-12-16 21:55:03] iter 0: loss 4.2654, time 7065.25ms, mfu -100.00%
[2024-12-16 21:55:03] iter 10: loss 3.1461, time 21.34ms, mfu 17.46%
[2024-12-16 21:55:03] iter 20: loss 2.7321, time 20.47ms, mfu 17.54%
[2024-12-16 21:55:03] iter 30: loss 2.6184, time 20.71ms, mfu 17.58%
[2024-12-16 21:55:04] iter 40: loss 2.5756, time 20.53ms, mfu 17.64%
[2024-12-16 21:55:04] iter 50: loss 2.5249, time 20.52ms, mfu 17.69%
[2024-12-16 21:55:04] iter 60: loss 2.5145, time 20.53ms, mfu 17.74%
[2024-12-16 21:55:04] iter 70: loss 2.4947, time 20.88ms, mfu 17.75%
[2024-12-16 21:55:04] iter 80: loss 2.4935, time 20.53ms, mfu 17.79%
[2024-12-16 21:55:05] iter 90: loss 2.4684, time 20.55ms, mfu 17.82%
[2024-12-16 21:55:05] iter 100: loss 2.4593, time 20.54ms, mfu 17.86%
[2024-12-16 21:55:05] iter 110: loss 2.4630, time 20.53ms, mfu 17.88%
[2024-12-16 21:55:05] iter 120: loss 2.4296, time 20.52ms, mfu 17.91%
[2024-12-16 21:55:06] iter 130: loss 2.4126, time 20.53ms, mfu 17.94%
[2024-12-16 21:55:06] iter 140: loss 2.4108, time 20.52ms, mfu 17.96%
[2024-12-16 21:55:06] iter 150: loss 2.4120, time 20.53ms, mfu 17.98%
[2024-12-16 21:55:06] iter 160: loss 2.3768, time 20.53ms, mfu 17.99%
[2024-12-16 21:55:06] iter 170: loss 2.3682, time 20.53ms, mfu 18.01%
[2024-12-16 21:55:07] iter 180: loss 2.3196, time 20.53ms, mfu 18.02%
[2024-12-16 21:55:07] iter 190: loss 2.2577, time 20.52ms, mfu 18.04%
[2024-12-16 21:55:07] iter 200: loss 2.2171, time 20.53ms, mfu 18.05%
[2024-12-16 21:55:07] iter 210: loss 2.1382, time 20.53ms, mfu 18.06%
[2024-12-16 21:55:07] iter 220: loss 2.1478, time 20.53ms, mfu 18.07%
[2024-12-16 21:55:08] iter 230: loss 2.0694, time 20.53ms, mfu 18.08%
[2024-12-16 21:55:08] iter 240: loss 2.0814, time 20.54ms, mfu 18.08%
[2024-12-16 21:55:11] step 250: train loss 1.9744, val loss 2.0700
[2024-12-16 21:55:11] saving checkpoint to out-shakespeare-char
[2024-12-16 21:55:11] iter 250: loss 2.0397, time 3138.91ms, mfu 16.29%
[2024-12-16 21:55:11] iter 260: loss 1.9811, time 20.53ms, mfu 16.47%
[2024-12-16 21:55:11] iter 270: loss 1.9839, time 20.53ms, mfu 16.64%
[2024-12-16 21:55:12] iter 280: loss 1.9809, time 20.51ms, mfu 16.79%
[2024-12-16 21:55:12] iter 290: loss 1.9200, time 20.52ms, mfu 16.93%
[2024-12-16 21:55:12] iter 300: loss 1.8976, time 20.51ms, mfu 17.05%
[2024-12-16 21:55:12] iter 310: loss 1.8647, time 20.53ms, mfu 17.16%
[2024-12-16 21:55:12] iter 320: loss 1.8503, time 20.52ms, mfu 17.26%
[2024-12-16 21:55:13] iter 330: loss 1.8169, time 20.51ms, mfu 17.35%
[2024-12-16 21:55:13] iter 340: loss 1.7915, time 20.54ms, mfu 17.43%
[2024-12-16 21:55:13] iter 350: loss 1.8273, time 20.55ms, mfu 17.50%
[2024-12-16 21:55:13] iter 360: loss 1.7757, time 20.53ms, mfu 17.57%
[2024-12-16 21:55:14] iter 370: loss 1.7501, time 20.53ms, mfu 17.62%
[2024-12-16 21:55:14] iter 380: loss 1.7321, time 20.55ms, mfu 17.68%
[2024-12-16 21:55:14] iter 390: loss 1.7321, time 20.54ms, mfu 17.72%
[2024-12-16 21:55:14] iter 400: loss 1.7692, time 20.54ms, mfu 17.76%
[2024-12-16 21:55:14] iter 410: loss 1.6988, time 20.54ms, mfu 17.80%
[2024-12-16 21:55:15] iter 420: loss 1.7109, time 20.54ms, mfu 17.84%
[2024-12-16 21:55:15] iter 430: loss 1.6855, time 20.55ms, mfu 17.87%
