[2024-12-27 20:56:13] tokens per iteration will be: 16,384
[2024-12-27 20:56:13] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2024-12-27 20:56:13] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2024-12-27 20:56:14] compiling the model... (takes a ~minute)
[2024-12-27 20:56:19] step 0: train loss 4.2874, val loss 4.2823
[2024-12-27 20:56:21] iter 0: loss 4.2654, time 7096.64ms, mfu -100.00%
[2024-12-27 20:56:21] iter 10: loss 3.1462, time 21.27ms, mfu 17.52%
[2024-12-27 20:56:22] iter 20: loss 2.7311, time 20.46ms, mfu 17.59%
[2024-12-27 20:56:22] iter 30: loss 2.6177, time 20.45ms, mfu 17.65%
[2024-12-27 20:56:22] iter 40: loss 2.5754, time 20.46ms, mfu 17.71%
[2024-12-27 20:56:22] iter 50: loss 2.5249, time 20.45ms, mfu 17.76%
[2024-12-27 20:56:22] iter 60: loss 2.5141, time 20.47ms, mfu 17.80%
[2024-12-27 20:56:23] iter 70: loss 2.4948, time 20.47ms, mfu 17.84%
[2024-12-27 20:56:23] iter 80: loss 2.4934, time 20.46ms, mfu 17.88%
[2024-12-27 20:56:23] iter 90: loss 2.4700, time 20.47ms, mfu 17.91%
[2024-12-27 20:56:23] iter 100: loss 2.4738, time 20.47ms, mfu 17.94%
[2024-12-27 20:56:24] iter 110: loss 2.4601, time 20.46ms, mfu 17.97%
[2024-12-27 20:56:24] iter 120: loss 2.4265, time 20.47ms, mfu 17.99%
[2024-12-27 20:56:24] iter 130: loss 2.4090, time 20.47ms, mfu 18.01%
[2024-12-27 20:56:24] iter 140: loss 2.4010, time 20.47ms, mfu 18.03%
[2024-12-27 20:56:24] iter 150: loss 2.4055, time 20.47ms, mfu 18.05%
[2024-12-27 20:56:25] iter 160: loss 2.3625, time 20.46ms, mfu 18.07%
[2024-12-27 20:56:25] iter 170: loss 2.3879, time 20.47ms, mfu 18.08%
[2024-12-27 20:56:25] iter 180: loss 2.3255, time 20.46ms, mfu 18.09%
[2024-12-27 20:56:25] iter 190: loss 2.2549, time 20.46ms, mfu 18.11%
