[2024-12-27 22:08:41] tokens per iteration will be: 16,384
[2024-12-27 22:08:41] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2024-12-27 22:08:41] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2024-12-27 22:08:42] compiling the model... (takes a ~minute)
[2024-12-27 22:08:47] step 0: train loss 4.2874, val loss 4.2823
[2024-12-27 22:08:49] iter 0: loss 4.2654, time 6977.69ms, mfu -100.00%
[2024-12-27 22:08:49] iter 10: loss 3.1462, time 20.42ms, mfu 18.25%
[2024-12-27 22:08:50] iter 20: loss 2.7313, time 20.44ms, mfu 18.25%
[2024-12-27 22:08:50] iter 30: loss 2.6180, time 20.45ms, mfu 18.25%
[2024-12-27 22:08:50] iter 40: loss 2.5754, time 20.45ms, mfu 18.24%
[2024-12-27 22:08:50] iter 50: loss 2.5250, time 20.45ms, mfu 18.24%
[2024-12-27 22:08:50] iter 60: loss 2.5141, time 20.45ms, mfu 18.24%
[2024-12-27 22:08:51] iter 70: loss 2.4945, time 20.45ms, mfu 18.24%
[2024-12-27 22:08:51] iter 80: loss 2.4937, time 20.44ms, mfu 18.24%
[2024-12-27 22:08:51] iter 90: loss 2.4679, time 20.43ms, mfu 18.24%
[2024-12-27 22:08:51] iter 100: loss 2.4597, time 20.43ms, mfu 18.24%
[2024-12-27 22:08:51] iter 110: loss 2.4641, time 20.45ms, mfu 18.24%
[2024-12-27 22:08:52] iter 120: loss 2.4300, time 20.44ms, mfu 18.24%
[2024-12-27 22:08:52] iter 130: loss 2.4134, time 20.77ms, mfu 18.21%
[2024-12-27 22:08:52] iter 140: loss 2.4079, time 20.45ms, mfu 18.21%
[2024-12-27 22:08:52] iter 150: loss 2.4105, time 20.43ms, mfu 18.21%
[2024-12-27 22:08:52] iter 160: loss 2.3731, time 20.44ms, mfu 18.21%
[2024-12-27 22:08:53] iter 170: loss 2.3754, time 20.44ms, mfu 18.21%
[2024-12-27 22:08:53] iter 180: loss 2.3199, time 20.44ms, mfu 18.22%
[2024-12-27 22:08:53] iter 190: loss 2.2509, time 20.43ms, mfu 18.22%
[2024-12-27 22:08:53] iter 200: loss 2.2074, time 20.43ms, mfu 18.22%
[2024-12-27 22:08:53] iter 210: loss 2.1367, time 20.44ms, mfu 18.22%
[2024-12-27 22:08:54] iter 220: loss 2.1460, time 20.43ms, mfu 18.22%
[2024-12-27 22:08:54] iter 230: loss 2.0743, time 20.45ms, mfu 18.22%
[2024-12-27 22:08:54] iter 240: loss 2.0741, time 20.44ms, mfu 18.22%
[2024-12-27 22:08:57] step 250: train loss 1.9624, val loss 2.0660
[2024-12-27 22:08:57] saving checkpoint to out-shakespeare-char
[2024-12-27 22:08:57] iter 250: loss 2.0331, time 3087.88ms, mfu 16.41%
[2024-12-27 22:08:57] iter 260: loss 1.9765, time 20.44ms, mfu 16.60%
[2024-12-27 22:08:58] iter 270: loss 1.9864, time 20.48ms, mfu 16.75%
[2024-12-27 22:08:58] iter 280: loss 1.9820, time 20.49ms, mfu 16.90%
[2024-12-27 22:08:58] iter 290: loss 1.9128, time 20.48ms, mfu 17.03%
[2024-12-27 22:08:58] iter 300: loss 1.8990, time 20.50ms, mfu 17.14%
[2024-12-27 22:08:59] iter 310: loss 1.8660, time 20.49ms, mfu 17.25%
[2024-12-27 22:08:59] iter 320: loss 1.8541, time 20.48ms, mfu 17.34%
[2024-12-27 22:08:59] iter 330: loss 1.8176, time 20.50ms, mfu 17.42%
[2024-12-27 22:08:59] iter 340: loss 1.7843, time 20.50ms, mfu 17.50%
[2024-12-27 22:08:59] iter 350: loss 1.8211, time 20.49ms, mfu 17.57%
[2024-12-27 22:09:00] iter 360: loss 1.7671, time 20.48ms, mfu 17.63%
[2024-12-27 22:09:00] iter 370: loss 1.7442, time 20.47ms, mfu 17.69%
[2024-12-27 22:09:00] iter 380: loss 1.7281, time 20.46ms, mfu 17.74%
[2024-12-27 22:09:00] iter 390: loss 1.7335, time 20.49ms, mfu 17.79%
[2024-12-27 22:09:00] iter 400: loss 1.7613, time 20.49ms, mfu 17.83%
[2024-12-27 22:09:01] iter 410: loss 1.6986, time 20.49ms, mfu 17.86%
[2024-12-27 22:09:01] iter 420: loss 1.7095, time 20.48ms, mfu 17.89%
[2024-12-27 22:09:01] iter 430: loss 1.6847, time 20.49ms, mfu 17.92%
[2024-12-27 22:09:01] iter 440: loss 1.6499, time 20.48ms, mfu 17.95%
[2024-12-27 22:09:01] iter 450: loss 1.6471, time 20.49ms, mfu 17.97%
[2024-12-27 22:09:02] iter 460: loss 1.6015, time 20.49ms, mfu 18.00%
[2024-12-27 22:09:02] iter 470: loss 1.6449, time 20.49ms, mfu 18.01%
[2024-12-27 22:09:02] iter 480: loss 1.6176, time 20.47ms, mfu 18.03%
[2024-12-27 22:09:02] iter 490: loss 1.5988, time 20.49ms, mfu 18.05%
[2024-12-27 22:09:05] step 500: train loss 1.5225, val loss 1.7153
