[2025-03-18 06:39:58] tokens per iteration will be: 16,384
[2025-03-18 06:39:58] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2025-03-18 06:39:58] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2025-03-18 06:39:58] compiling the model... (takes a ~minute)
[2025-03-18 06:40:03] step 0: train loss 4.2874, val loss 4.2823
[2025-03-18 06:40:06] iter 0: loss 4.2654, time 7146.88ms, mfu -100.00%
[2025-03-18 06:40:06] iter 10: loss 3.1462, time 21.40ms, mfu 17.41%
[2025-03-18 06:40:06] iter 20: loss 2.7313, time 20.59ms, mfu 17.48%
[2025-03-18 06:40:07] iter 30: loss 2.6180, time 20.67ms, mfu 17.53%
[2025-03-18 06:40:07] iter 40: loss 2.5755, time 20.71ms, mfu 17.58%
[2025-03-18 06:40:07] iter 50: loss 2.5251, time 20.56ms, mfu 17.63%
[2025-03-18 06:40:07] iter 60: loss 2.5143, time 20.54ms, mfu 17.68%
[2025-03-18 06:40:07] iter 70: loss 2.4945, time 20.64ms, mfu 17.72%
[2025-03-18 06:40:08] iter 80: loss 2.4938, time 20.69ms, mfu 17.75%
[2025-03-18 06:40:08] iter 90: loss 2.4675, time 20.68ms, mfu 17.78%
[2025-03-18 06:40:08] iter 100: loss 2.4592, time 20.61ms, mfu 17.81%
[2025-03-18 06:40:08] iter 110: loss 2.4620, time 20.62ms, mfu 17.83%
[2025-03-18 06:40:08] iter 120: loss 2.4285, time 20.75ms, mfu 17.85%
[2025-03-18 06:40:09] iter 130: loss 2.4126, time 20.63ms, mfu 17.87%
[2025-03-18 06:40:09] iter 140: loss 2.4129, time 20.74ms, mfu 17.88%
[2025-03-18 06:40:09] iter 150: loss 2.4108, time 20.60ms, mfu 17.90%
[2025-03-18 06:40:09] iter 160: loss 2.3741, time 20.70ms, mfu 17.91%
[2025-03-18 06:40:09] iter 170: loss 2.3638, time 20.66ms, mfu 17.92%
[2025-03-18 06:40:10] iter 180: loss 2.3178, time 20.69ms, mfu 17.93%
[2025-03-18 06:40:10] iter 190: loss 2.2543, time 20.63ms, mfu 17.94%
[2025-03-18 06:40:10] iter 200: loss 2.2116, time 20.71ms, mfu 17.95%
[2025-03-18 06:40:10] iter 210: loss 2.1405, time 20.68ms, mfu 17.96%
[2025-03-18 06:40:10] iter 220: loss 2.1409, time 20.67ms, mfu 17.96%
[2025-03-18 06:40:11] iter 230: loss 2.0724, time 20.69ms, mfu 17.97%
[2025-03-18 06:40:11] iter 240: loss 2.0843, time 20.62ms, mfu 17.98%
[2025-03-18 06:40:14] step 250: train loss 1.9777, val loss 2.0747
[2025-03-18 06:40:14] saving checkpoint to out-shakespeare-char
[2025-03-18 06:40:14] iter 250: loss 2.0408, time 3165.86ms, mfu 16.19%
[2025-03-18 06:40:14] iter 260: loss 1.9815, time 20.66ms, mfu 16.38%
[2025-03-18 06:40:15] iter 270: loss 1.9775, time 20.68ms, mfu 16.54%
