[2025-03-18 07:08:46] tokens per iteration will be: 16,384
[2025-03-18 07:08:46] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2025-03-18 07:08:46] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2025-03-18 07:08:47] compiling the model... (takes a ~minute)
[2025-03-18 07:08:52] step 0: train loss 4.2874, val loss 4.2823
[2025-03-18 07:08:55] iter 0: loss 4.2654, time 6986.00ms, mfu -100.00%
[2025-03-18 07:08:55] iter 10: loss 3.1462, time 21.21ms, mfu 17.57%
[2025-03-18 07:08:55] iter 20: loss 2.7314, time 20.49ms, mfu 17.63%
[2025-03-18 07:08:55] iter 30: loss 2.6181, time 20.52ms, mfu 17.68%
[2025-03-18 07:08:55] iter 40: loss 2.5755, time 20.49ms, mfu 17.73%
[2025-03-18 07:08:56] iter 50: loss 2.5250, time 20.49ms, mfu 17.78%
[2025-03-18 07:08:56] iter 60: loss 2.5143, time 20.51ms, mfu 17.82%
[2025-03-18 07:08:56] iter 70: loss 2.4945, time 20.50ms, mfu 17.85%
[2025-03-18 07:08:56] iter 80: loss 2.4938, time 20.50ms, mfu 17.88%
[2025-03-18 07:08:56] iter 90: loss 2.4677, time 20.49ms, mfu 17.91%
[2025-03-18 07:08:57] iter 100: loss 2.4604, time 20.50ms, mfu 17.94%
[2025-03-18 07:08:57] iter 110: loss 2.4629, time 20.50ms, mfu 17.96%
[2025-03-18 07:08:57] iter 120: loss 2.4292, time 20.51ms, mfu 17.98%
[2025-03-18 07:08:57] iter 130: loss 2.4090, time 20.49ms, mfu 18.00%
[2025-03-18 07:08:57] iter 140: loss 2.4161, time 20.52ms, mfu 18.02%
[2025-03-18 07:08:58] iter 150: loss 2.4169, time 20.51ms, mfu 18.04%
[2025-03-18 07:08:58] iter 160: loss 2.3683, time 20.49ms, mfu 18.05%
[2025-03-18 07:08:58] iter 170: loss 2.3653, time 20.50ms, mfu 18.06%
[2025-03-18 07:08:58] iter 180: loss 2.3127, time 20.50ms, mfu 18.07%
[2025-03-18 07:08:58] iter 190: loss 2.2517, time 20.49ms, mfu 18.09%
[2025-03-18 07:08:59] iter 200: loss 2.2111, time 20.49ms, mfu 18.10%
[2025-03-18 07:08:59] iter 210: loss 2.1408, time 20.51ms, mfu 18.10%
[2025-03-18 07:08:59] iter 220: loss 2.1449, time 20.50ms, mfu 18.11%
[2025-03-18 07:08:59] iter 230: loss 2.0687, time 20.48ms, mfu 18.12%
[2025-03-18 07:08:59] iter 240: loss 2.0791, time 20.50ms, mfu 18.12%
[2025-03-18 07:09:03] step 250: train loss 1.9754, val loss 2.0703
[2025-03-18 07:09:03] saving checkpoint to out-shakespeare-char
[2025-03-18 07:09:03] iter 250: loss 2.0355, time 3097.60ms, mfu 16.32%
[2025-03-18 07:09:03] iter 260: loss 1.9789, time 20.52ms, mfu 16.51%
[2025-03-18 07:09:03] iter 270: loss 1.9781, time 20.51ms, mfu 16.67%
[2025-03-18 07:09:03] iter 280: loss 1.9774, time 20.52ms, mfu 16.82%
[2025-03-18 07:09:04] iter 290: loss 1.9115, time 20.51ms, mfu 16.96%
[2025-03-18 07:09:04] iter 300: loss 1.9016, time 20.51ms, mfu 17.08%
