[2025-03-18 06:51:32] tokens per iteration will be: 16,384
[2025-03-18 06:51:32] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2025-03-18 06:51:32] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2025-03-18 06:51:33] compiling the model... (takes a ~minute)
[2025-03-18 06:51:38] step 0: train loss 4.2874, val loss 4.2823
[2025-03-18 06:51:40] iter 0: loss 4.2654, time 6978.83ms, mfu -100.00%
[2025-03-18 06:51:41] iter 10: loss 3.1462, time 21.20ms, mfu 17.57%
[2025-03-18 06:51:41] iter 20: loss 2.7317, time 20.49ms, mfu 17.63%
[2025-03-18 06:51:41] iter 30: loss 2.6182, time 20.51ms, mfu 17.69%
[2025-03-18 06:51:41] iter 40: loss 2.5756, time 20.51ms, mfu 17.73%
[2025-03-18 06:51:41] iter 50: loss 2.5250, time 20.51ms, mfu 17.78%
[2025-03-18 06:51:42] iter 60: loss 2.5143, time 20.51ms, mfu 17.82%
[2025-03-18 06:51:42] iter 70: loss 2.4946, time 20.50ms, mfu 17.85%
[2025-03-18 06:51:42] iter 80: loss 2.4938, time 20.50ms, mfu 17.89%
[2025-03-18 06:51:42] iter 90: loss 2.4682, time 20.50ms, mfu 17.91%
[2025-03-18 06:51:43] iter 100: loss 2.4596, time 20.51ms, mfu 17.94%
[2025-03-18 06:51:43] iter 110: loss 2.4584, time 20.51ms, mfu 17.96%
[2025-03-18 06:51:43] iter 120: loss 2.4262, time 20.54ms, mfu 17.98%
[2025-03-18 06:51:43] iter 130: loss 2.4162, time 20.50ms, mfu 18.00%
[2025-03-18 06:51:43] iter 140: loss 2.3984, time 20.49ms, mfu 18.02%
[2025-03-18 06:51:44] iter 150: loss 2.4033, time 20.51ms, mfu 18.03%
[2025-03-18 06:51:44] iter 160: loss 2.3607, time 20.50ms, mfu 18.05%
[2025-03-18 06:51:44] iter 170: loss 2.3824, time 20.51ms, mfu 18.06%
[2025-03-18 06:51:44] iter 180: loss 2.3182, time 20.50ms, mfu 18.07%
[2025-03-18 06:51:44] iter 190: loss 2.2479, time 20.49ms, mfu 18.08%
[2025-03-18 06:51:45] iter 200: loss 2.2082, time 20.48ms, mfu 18.09%
[2025-03-18 06:51:45] iter 210: loss 2.1470, time 20.49ms, mfu 18.10%
[2025-03-18 06:51:45] iter 220: loss 2.1376, time 20.51ms, mfu 18.11%
[2025-03-18 06:51:45] iter 230: loss 2.0725, time 20.52ms, mfu 18.12%
[2025-03-18 06:51:45] iter 240: loss 2.0739, time 20.50ms, mfu 18.12%
[2025-03-18 06:51:48] step 250: train loss 1.9686, val loss 2.0674
[2025-03-18 06:51:48] saving checkpoint to out-shakespeare-char
[2025-03-18 06:51:49] iter 250: loss 2.0340, time 3092.45ms, mfu 16.32%
[2025-03-18 06:51:49] iter 260: loss 1.9792, time 20.51ms, mfu 16.51%
[2025-03-18 06:51:49] iter 270: loss 1.9775, time 20.51ms, mfu 16.67%
[2025-03-18 06:51:49] iter 280: loss 1.9746, time 20.50ms, mfu 16.82%
[2025-03-18 06:51:49] iter 290: loss 1.9108, time 20.50ms, mfu 16.96%
[2025-03-18 06:51:50] iter 300: loss 1.8967, time 20.49ms, mfu 17.08%
[2025-03-18 06:51:50] iter 310: loss 1.8711, time 20.50ms, mfu 17.19%
[2025-03-18 06:51:50] iter 320: loss 1.8510, time 20.50ms, mfu 17.29%
[2025-03-18 06:51:50] iter 330: loss 1.8189, time 20.50ms, mfu 17.38%
