[2025-03-18 07:14:29] tokens per iteration will be: 16,384
[2025-03-18 07:14:29] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2025-03-18 07:14:29] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2025-03-18 07:14:30] compiling the model... (takes a ~minute)
[2025-03-18 07:14:35] step 0: train loss 4.2874, val loss 4.2823
[2025-03-18 07:14:37] iter 0: loss 4.2654, time 6902.47ms, mfu -100.00%
[2025-03-18 07:14:37] iter 10: loss 3.1462, time 20.47ms, mfu 18.21%
[2025-03-18 07:14:37] iter 20: loss 2.7318, time 20.49ms, mfu 18.20%
[2025-03-18 07:14:38] iter 30: loss 2.6182, time 20.50ms, mfu 18.20%
[2025-03-18 07:14:38] iter 40: loss 2.5756, time 20.51ms, mfu 18.20%
[2025-03-18 07:14:38] iter 50: loss 2.5250, time 20.50ms, mfu 18.20%
[2025-03-18 07:14:38] iter 60: loss 2.5144, time 20.49ms, mfu 18.19%
[2025-03-18 07:14:38] iter 70: loss 2.4946, time 20.55ms, mfu 18.19%
[2025-03-18 07:14:39] iter 80: loss 2.4936, time 20.55ms, mfu 18.18%
[2025-03-18 07:14:39] iter 90: loss 2.4679, time 20.56ms, mfu 18.18%
[2025-03-18 07:14:39] iter 100: loss 2.4590, time 20.56ms, mfu 18.17%
[2025-03-18 07:14:39] iter 110: loss 2.4638, time 20.55ms, mfu 18.17%
[2025-03-18 07:14:39] iter 120: loss 2.4282, time 20.56ms, mfu 18.16%
[2025-03-18 07:14:40] iter 130: loss 2.4096, time 20.56ms, mfu 18.16%
[2025-03-18 07:14:40] iter 140: loss 2.4125, time 20.56ms, mfu 18.16%
[2025-03-18 07:14:40] iter 150: loss 2.4104, time 20.55ms, mfu 18.15%
[2025-03-18 07:14:40] iter 160: loss 2.3709, time 20.56ms, mfu 18.15%
[2025-03-18 07:14:40] iter 170: loss 2.3406, time 20.55ms, mfu 18.15%
[2025-03-18 07:14:41] iter 180: loss 2.3198, time 20.55ms, mfu 18.15%
[2025-03-18 07:14:41] iter 190: loss 2.2490, time 20.54ms, mfu 18.15%
[2025-03-18 07:14:41] iter 200: loss 2.2033, time 20.54ms, mfu 18.15%
[2025-03-18 07:14:41] iter 210: loss 2.1414, time 20.56ms, mfu 18.14%
[2025-03-18 07:14:41] iter 220: loss 2.1394, time 20.55ms, mfu 18.14%
[2025-03-18 07:14:42] iter 230: loss 2.0741, time 20.54ms, mfu 18.14%
[2025-03-18 07:14:42] iter 240: loss 2.0744, time 20.56ms, mfu 18.14%
[2025-03-18 07:14:45] step 250: train loss 1.9718, val loss 2.0701
[2025-03-18 07:14:45] saving checkpoint to out-shakespeare-char
[2025-03-18 07:14:45] iter 250: loss 2.0330, time 3085.01ms, mfu 16.34%
[2025-03-18 07:14:45] iter 260: loss 1.9792, time 20.52ms, mfu 16.52%
[2025-03-18 07:14:45] iter 270: loss 1.9752, time 20.52ms, mfu 16.68%
[2025-03-18 07:14:46] iter 280: loss 1.9718, time 20.52ms, mfu 16.83%
[2025-03-18 07:14:46] iter 290: loss 1.9146, time 20.51ms, mfu 16.97%
[2025-03-18 07:14:46] iter 300: loss 1.8995, time 20.50ms, mfu 17.09%
[2025-03-18 07:14:46] iter 310: loss 1.8628, time 20.50ms, mfu 17.20%
[2025-03-18 07:14:46] iter 320: loss 1.8501, time 20.51ms, mfu 17.29%
[2025-03-18 07:14:47] iter 330: loss 1.8154, time 20.51ms, mfu 17.38%
[2025-03-18 07:14:47] iter 340: loss 1.7893, time 20.50ms, mfu 17.46%
[2025-03-18 07:14:47] iter 350: loss 1.8280, time 20.50ms, mfu 17.53%
[2025-03-18 07:14:47] iter 360: loss 1.7740, time 20.50ms, mfu 17.60%
[2025-03-18 07:14:48] iter 370: loss 1.7434, time 20.52ms, mfu 17.65%
[2025-03-18 07:14:48] iter 380: loss 1.7324, time 20.52ms, mfu 17.70%
[2025-03-18 07:14:48] iter 390: loss 1.7305, time 20.50ms, mfu 17.75%
[2025-03-18 07:14:48] iter 400: loss 1.7571, time 20.50ms, mfu 17.79%
[2025-03-18 07:14:48] iter 410: loss 1.6946, time 20.51ms, mfu 17.83%
[2025-03-18 07:14:49] iter 420: loss 1.7151, time 20.51ms, mfu 17.86%
[2025-03-18 07:14:49] iter 430: loss 1.6869, time 20.51ms, mfu 17.89%
[2025-03-18 07:14:49] iter 440: loss 1.6433, time 20.50ms, mfu 17.92%
[2025-03-18 07:14:49] iter 450: loss 1.6502, time 20.49ms, mfu 17.95%
[2025-03-18 07:14:49] iter 460: loss 1.5953, time 20.52ms, mfu 17.97%
[2025-03-18 07:14:50] iter 470: loss 1.6425, time 20.52ms, mfu 17.99%
[2025-03-18 07:14:50] iter 480: loss 1.6150, time 20.50ms, mfu 18.01%
[2025-03-18 07:14:50] iter 490: loss 1.5966, time 20.50ms, mfu 18.03%
[2025-03-18 07:14:53] step 500: train loss 1.5171, val loss 1.7104
[2025-03-18 07:14:53] saving checkpoint to out-shakespeare-char
[2025-03-18 07:14:53] iter 500: loss 1.5914, time 3070.56ms, mfu 16.23%
