[2025-03-18 06:57:17] tokens per iteration will be: 16,384
[2025-03-18 06:57:17] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2025-03-18 06:57:17] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2025-03-18 06:57:18] compiling the model... (takes a ~minute)
[2025-03-18 06:57:23] step 0: train loss 4.2874, val loss 4.2823
[2025-03-18 06:57:26] iter 0: loss 4.2654, time 7132.11ms, mfu -100.00%
[2025-03-18 06:57:26] iter 10: loss 3.1462, time 21.42ms, mfu 17.39%
[2025-03-18 06:57:26] iter 20: loss 2.7317, time 20.77ms, mfu 17.45%
[2025-03-18 06:57:26] iter 30: loss 2.6182, time 20.72ms, mfu 17.50%
[2025-03-18 06:57:26] iter 40: loss 2.5755, time 20.78ms, mfu 17.55%
[2025-03-18 06:57:27] iter 50: loss 2.5250, time 20.73ms, mfu 17.59%
[2025-03-18 06:57:27] iter 60: loss 2.5144, time 20.75ms, mfu 17.63%
[2025-03-18 06:57:27] iter 70: loss 2.4945, time 20.71ms, mfu 17.66%
[2025-03-18 06:57:27] iter 80: loss 2.4937, time 20.69ms, mfu 17.70%
[2025-03-18 06:57:27] iter 90: loss 2.4679, time 20.74ms, mfu 17.72%
[2025-03-18 06:57:28] iter 100: loss 2.4591, time 20.69ms, mfu 17.75%
[2025-03-18 06:57:28] iter 110: loss 2.4618, time 20.75ms, mfu 17.77%
[2025-03-18 06:57:28] iter 120: loss 2.4296, time 20.71ms, mfu 17.79%
[2025-03-18 06:57:28] iter 130: loss 2.4107, time 20.79ms, mfu 17.81%
[2025-03-18 06:57:28] iter 140: loss 2.4153, time 20.65ms, mfu 17.83%
[2025-03-18 06:57:29] iter 150: loss 2.4127, time 20.70ms, mfu 17.85%
[2025-03-18 06:57:29] iter 160: loss 2.3691, time 20.78ms, mfu 17.86%
[2025-03-18 06:57:29] iter 170: loss 2.3592, time 20.69ms, mfu 17.87%
[2025-03-18 06:57:29] iter 180: loss 2.3173, time 20.79ms, mfu 17.88%
[2025-03-18 06:57:30] iter 190: loss 2.2561, time 20.73ms, mfu 17.89%
[2025-03-18 06:57:30] iter 200: loss 2.2130, time 20.60ms, mfu 17.91%
[2025-03-18 06:57:30] iter 210: loss 2.1430, time 20.75ms, mfu 17.91%
[2025-03-18 06:57:30] iter 220: loss 2.1436, time 20.67ms, mfu 17.92%
[2025-03-18 06:57:30] iter 230: loss 2.0784, time 20.77ms, mfu 17.93%
[2025-03-18 06:57:31] iter 240: loss 2.0856, time 20.72ms, mfu 17.93%
[2025-03-18 06:57:34] step 250: train loss 1.9793, val loss 2.0743
[2025-03-18 06:57:34] saving checkpoint to out-shakespeare-char
[2025-03-18 06:57:34] iter 250: loss 2.0421, time 3121.63ms, mfu 16.15%
[2025-03-18 06:57:34] iter 260: loss 1.9771, time 20.76ms, mfu 16.33%
[2025-03-18 06:57:34] iter 270: loss 1.9819, time 20.71ms, mfu 16.50%
[2025-03-18 06:57:34] iter 280: loss 1.9826, time 20.78ms, mfu 16.64%
[2025-03-18 06:57:35] iter 290: loss 1.9145, time 20.69ms, mfu 16.78%
[2025-03-18 06:57:35] iter 300: loss 1.8966, time 20.72ms, mfu 16.90%
[2025-03-18 06:57:35] iter 310: loss 1.8698, time 20.73ms, mfu 17.01%
[2025-03-18 06:57:35] iter 320: loss 1.8501, time 20.63ms, mfu 17.11%
[2025-03-18 06:57:35] iter 330: loss 1.8261, time 20.81ms, mfu 17.19%
[2025-03-18 06:57:36] iter 340: loss 1.7834, time 20.72ms, mfu 17.27%
[2025-03-18 06:57:36] iter 350: loss 1.8252, time 20.62ms, mfu 17.35%
[2025-03-18 06:57:36] iter 360: loss 1.7773, time 20.75ms, mfu 17.41%
[2025-03-18 06:57:36] iter 370: loss 1.7483, time 20.71ms, mfu 17.47%
[2025-03-18 06:57:37] iter 380: loss 1.7311, time 20.80ms, mfu 17.51%
[2025-03-18 06:57:37] iter 390: loss 1.7338, time 20.72ms, mfu 17.56%
[2025-03-18 06:57:37] iter 400: loss 1.7584, time 20.61ms, mfu 17.61%
[2025-03-18 06:57:37] iter 410: loss 1.6970, time 20.76ms, mfu 17.65%
[2025-03-18 06:57:37] iter 420: loss 1.7089, time 20.71ms, mfu 17.68%
[2025-03-18 06:57:38] iter 430: loss 1.6833, time 20.79ms, mfu 17.71%
[2025-03-18 06:57:38] iter 440: loss 1.6445, time 20.73ms, mfu 17.73%
[2025-03-18 06:57:38] iter 450: loss 1.6483, time 20.70ms, mfu 17.76%
[2025-03-18 06:57:38] iter 460: loss 1.5970, time 20.75ms, mfu 17.78%
[2025-03-18 06:57:38] iter 470: loss 1.6468, time 20.64ms, mfu 17.81%
[2025-03-18 06:57:39] iter 480: loss 1.6227, time 20.68ms, mfu 17.83%
[2025-03-18 06:57:39] iter 490: loss 1.5972, time 20.77ms, mfu 17.84%
[2025-03-18 06:57:42] step 500: train loss 1.5207, val loss 1.7158
[2025-03-18 06:57:42] saving checkpoint to out-shakespeare-char
[2025-03-18 06:57:42] iter 500: loss 1.5923, time 3118.97ms, mfu 16.07%
[2025-03-18 06:57:42] iter 510: loss 1.6105, time 20.77ms, mfu 16.25%
[2025-03-18 06:57:42] iter 520: loss 1.5881, time 20.78ms, mfu 16.42%
[2025-03-18 06:57:43] iter 530: loss 1.5569, time 20.73ms, mfu 16.58%
[2025-03-18 06:57:43] iter 540: loss 1.6170, time 20.73ms, mfu 16.72%
[2025-03-18 06:57:43] iter 550: loss 1.5654, time 20.64ms, mfu 16.85%
[2025-03-18 06:57:43] iter 560: loss 1.5624, time 20.68ms, mfu 16.97%
[2025-03-18 06:57:43] iter 570: loss 1.5626, time 20.79ms, mfu 17.06%
[2025-03-18 06:57:44] iter 580: loss 1.5279, time 20.68ms, mfu 17.16%
[2025-03-18 06:57:44] iter 590: loss 1.4929, time 20.75ms, mfu 17.24%
[2025-03-18 06:57:44] iter 600: loss 1.5112, time 20.70ms, mfu 17.31%
[2025-03-18 06:57:44] iter 610: loss 1.5443, time 20.71ms, mfu 17.38%
[2025-03-18 06:57:45] iter 620: loss 1.5290, time 20.79ms, mfu 17.44%
[2025-03-18 06:57:45] iter 630: loss 1.5075, time 20.70ms, mfu 17.49%
[2025-03-18 06:57:45] iter 640: loss 1.4647, time 20.77ms, mfu 17.54%
[2025-03-18 06:57:45] iter 650: loss 1.4946, time 20.64ms, mfu 17.59%
[2025-03-18 06:57:45] iter 660: loss 1.5034, time 20.68ms, mfu 17.63%
[2025-03-18 06:57:46] iter 670: loss 1.4439, time 20.79ms, mfu 17.66%
[2025-03-18 06:57:46] iter 680: loss 1.5127, time 20.68ms, mfu 17.70%
[2025-03-18 06:57:46] iter 690: loss 1.4672, time 20.76ms, mfu 17.72%
[2025-03-18 06:57:46] iter 700: loss 1.4834, time 20.71ms, mfu 17.75%
[2025-03-18 06:57:46] iter 710: loss 1.4542, time 20.69ms, mfu 17.78%
[2025-03-18 06:57:47] iter 720: loss 1.4398, time 20.79ms, mfu 17.79%
[2025-03-18 06:57:47] iter 730: loss 1.4218, time 20.64ms, mfu 17.82%
[2025-03-18 06:57:47] iter 740: loss 1.4190, time 20.74ms, mfu 17.83%
[2025-03-18 06:57:50] step 750: train loss 1.3576, val loss 1.5884
[2025-03-18 06:57:50] saving checkpoint to out-shakespeare-char
[2025-03-18 06:57:50] iter 750: loss 1.4208, time 3124.22ms, mfu 16.06%
[2025-03-18 06:57:50] iter 760: loss 1.4483, time 20.77ms, mfu 16.25%
[2025-03-18 06:57:51] iter 770: loss 1.4218, time 20.71ms, mfu 16.42%
[2025-03-18 06:57:51] iter 780: loss 1.4197, time 20.75ms, mfu 16.58%
[2025-03-18 06:57:51] iter 790: loss 1.4185, time 20.96ms, mfu 16.70%
[2025-03-18 06:57:51] iter 800: loss 1.4306, time 20.70ms, mfu 16.83%
[2025-03-18 06:57:52] iter 810: loss 1.4023, time 20.80ms, mfu 16.94%
[2025-03-18 06:57:52] iter 820: loss 1.4068, time 20.70ms, mfu 17.04%
[2025-03-18 06:57:52] iter 830: loss 1.3923, time 20.63ms, mfu 17.14%
[2025-03-18 06:57:52] iter 840: loss 1.4010, time 20.76ms, mfu 17.23%
[2025-03-18 06:57:52] iter 850: loss 1.3923, time 20.69ms, mfu 17.30%
[2025-03-18 06:57:53] iter 860: loss 1.3927, time 20.77ms, mfu 17.37%
[2025-03-18 06:57:53] iter 870: loss 1.3944, time 21.03ms, mfu 17.40%
[2025-03-18 06:57:53] iter 880: loss 1.3698, time 20.73ms, mfu 17.46%
[2025-03-18 06:57:53] iter 890: loss 1.3848, time 20.74ms, mfu 17.51%
[2025-03-18 06:57:53] iter 900: loss 1.3653, time 20.76ms, mfu 17.55%
[2025-03-18 06:57:54] iter 910: loss 1.3169, time 20.63ms, mfu 17.60%
[2025-03-18 06:57:54] iter 920: loss 1.3606, time 20.74ms, mfu 17.64%
[2025-03-18 06:57:54] iter 930: loss 1.3603, time 20.78ms, mfu 17.67%
[2025-03-18 06:57:54] iter 940: loss 1.3405, time 20.65ms, mfu 17.71%
[2025-03-18 06:57:54] iter 950: loss 1.3500, time 20.76ms, mfu 17.73%
[2025-03-18 06:57:55] iter 960: loss 1.3592, time 20.72ms, mfu 17.76%
[2025-03-18 06:57:55] iter 970: loss 1.3529, time 20.66ms, mfu 17.78%
[2025-03-18 06:57:55] iter 980: loss 1.3514, time 20.78ms, mfu 17.80%
[2025-03-18 06:57:55] iter 990: loss 1.3381, time 20.76ms, mfu 17.81%
[2025-03-18 06:57:58] step 1000: train loss 1.2744, val loss 1.5211
[2025-03-18 06:57:58] saving checkpoint to out-shakespeare-char
[2025-03-18 06:57:58] iter 1000: loss 1.3278, time 3116.91ms, mfu 16.04%
[2025-03-18 06:57:59] iter 1010: loss 1.3353, time 20.76ms, mfu 16.24%
