[2025-03-18 07:03:03] tokens per iteration will be: 16,384
[2025-03-18 07:03:03] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2025-03-18 07:03:03] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2025-03-18 07:03:04] compiling the model... (takes a ~minute)
[2025-03-18 07:03:09] step 0: train loss 4.2874, val loss 4.2823
[2025-03-18 07:03:12] iter 0: loss 4.2654, time 7102.07ms, mfu -100.00%
[2025-03-18 07:03:12] iter 10: loss 3.1461, time 21.34ms, mfu 17.46%
[2025-03-18 07:03:12] iter 20: loss 2.7313, time 20.68ms, mfu 17.51%
[2025-03-18 07:03:12] iter 30: loss 2.6180, time 20.65ms, mfu 17.57%
[2025-03-18 07:03:12] iter 40: loss 2.5754, time 20.77ms, mfu 17.60%
[2025-03-18 07:03:13] iter 50: loss 2.5250, time 20.71ms, mfu 17.64%
[2025-03-18 07:03:13] iter 60: loss 2.5142, time 21.04ms, mfu 17.65%
[2025-03-18 07:03:13] iter 70: loss 2.4944, time 20.75ms, mfu 17.68%
[2025-03-18 07:03:13] iter 80: loss 2.4938, time 20.74ms, mfu 17.71%
[2025-03-18 07:03:14] iter 90: loss 2.4676, time 20.60ms, mfu 17.75%
[2025-03-18 07:03:14] iter 100: loss 2.4598, time 20.75ms, mfu 17.77%
[2025-03-18 07:03:14] iter 110: loss 2.4613, time 20.75ms, mfu 17.79%
[2025-03-18 07:03:14] iter 120: loss 2.4290, time 20.81ms, mfu 17.80%
[2025-03-18 07:03:14] iter 130: loss 2.4089, time 20.69ms, mfu 17.82%
[2025-03-18 07:03:15] iter 140: loss 2.4191, time 20.64ms, mfu 17.84%
[2025-03-18 07:03:15] iter 150: loss 2.4199, time 20.74ms, mfu 17.85%
[2025-03-18 07:03:15] iter 160: loss 2.3709, time 20.63ms, mfu 17.88%
[2025-03-18 07:03:15] iter 170: loss 2.3621, time 20.79ms, mfu 17.88%
[2025-03-18 07:03:15] iter 180: loss 2.3261, time 20.69ms, mfu 17.89%
[2025-03-18 07:03:16] iter 190: loss 2.2617, time 20.64ms, mfu 17.91%
[2025-03-18 07:03:16] iter 200: loss 2.2160, time 20.74ms, mfu 17.92%
[2025-03-18 07:03:16] iter 210: loss 2.1406, time 20.64ms, mfu 17.93%
[2025-03-18 07:03:16] iter 220: loss 2.1497, time 20.77ms, mfu 17.93%
[2025-03-18 07:03:16] iter 230: loss 2.0756, time 20.73ms, mfu 17.93%
[2025-03-18 07:03:17] iter 240: loss 2.0881, time 20.74ms, mfu 17.94%
[2025-03-18 07:03:20] step 250: train loss 1.9716, val loss 2.0709
[2025-03-18 07:03:20] saving checkpoint to out-shakespeare-char
[2025-03-18 07:03:20] iter 250: loss 2.0351, time 3108.72ms, mfu 16.16%
[2025-03-18 07:03:20] iter 260: loss 1.9768, time 20.63ms, mfu 16.35%
[2025-03-18 07:03:20] iter 270: loss 1.9801, time 20.80ms, mfu 16.50%
[2025-03-18 07:03:20] iter 280: loss 1.9837, time 20.69ms, mfu 16.65%
[2025-03-18 07:03:21] iter 290: loss 1.9117, time 20.76ms, mfu 16.78%
[2025-03-18 07:03:21] iter 300: loss 1.9001, time 20.73ms, mfu 16.90%
[2025-03-18 07:03:21] iter 310: loss 1.8698, time 20.77ms, mfu 17.01%
[2025-03-18 07:03:21] iter 320: loss 1.8497, time 20.77ms, mfu 17.10%
[2025-03-18 07:03:22] iter 330: loss 1.8159, time 20.81ms, mfu 17.18%
[2025-03-18 07:03:22] iter 340: loss 1.7887, time 20.84ms, mfu 17.25%
[2025-03-18 07:03:22] iter 350: loss 1.8215, time 20.82ms, mfu 17.32%
[2025-03-18 07:03:22] iter 360: loss 1.7734, time 20.82ms, mfu 17.37%
[2025-03-18 07:03:22] iter 370: loss 1.7476, time 20.83ms, mfu 17.43%
[2025-03-18 07:03:23] iter 380: loss 1.7329, time 20.82ms, mfu 17.47%
[2025-03-18 07:03:23] iter 390: loss 1.7322, time 20.82ms, mfu 17.51%
[2025-03-18 07:03:23] iter 400: loss 1.7671, time 20.76ms, mfu 17.56%
[2025-03-18 07:03:23] iter 410: loss 1.6962, time 20.76ms, mfu 17.60%
[2025-03-18 07:03:23] iter 420: loss 1.7148, time 20.82ms, mfu 17.63%
[2025-03-18 07:03:24] iter 430: loss 1.6917, time 20.82ms, mfu 17.65%
[2025-03-18 07:03:24] iter 440: loss 1.6505, time 20.81ms, mfu 17.68%
[2025-03-18 07:03:24] iter 450: loss 1.6511, time 20.81ms, mfu 17.70%
[2025-03-18 07:03:24] iter 460: loss 1.5994, time 20.83ms, mfu 17.72%
[2025-03-18 07:03:24] iter 470: loss 1.6480, time 20.82ms, mfu 17.74%
[2025-03-18 07:03:25] iter 480: loss 1.6160, time 20.80ms, mfu 17.76%
[2025-03-18 07:03:25] iter 490: loss 1.5908, time 20.81ms, mfu 17.77%
[2025-03-18 07:03:28] step 500: train loss 1.5240, val loss 1.7180
[2025-03-18 07:03:28] saving checkpoint to out-shakespeare-char
[2025-03-18 07:03:28] iter 500: loss 1.5973, time 3114.38ms, mfu 16.01%
[2025-03-18 07:03:28] iter 510: loss 1.6063, time 20.61ms, mfu 16.21%
[2025-03-18 07:03:29] iter 520: loss 1.5916, time 20.73ms, mfu 16.39%
[2025-03-18 07:03:29] iter 530: loss 1.5607, time 20.71ms, mfu 16.55%
[2025-03-18 07:03:29] iter 540: loss 1.6208, time 20.62ms, mfu 16.70%
[2025-03-18 07:03:29] iter 550: loss 1.5668, time 20.75ms, mfu 16.83%
[2025-03-18 07:03:29] iter 560: loss 1.5620, time 20.72ms, mfu 16.94%
[2025-03-18 07:03:30] iter 570: loss 1.5646, time 20.79ms, mfu 17.04%
[2025-03-18 07:03:30] iter 580: loss 1.5292, time 20.66ms, mfu 17.14%
[2025-03-18 07:03:30] iter 590: loss 1.4976, time 20.74ms, mfu 17.22%
[2025-03-18 07:03:30] iter 600: loss 1.5140, time 20.66ms, mfu 17.30%
[2025-03-18 07:03:30] iter 610: loss 1.5493, time 20.80ms, mfu 17.37%
[2025-03-18 07:03:31] iter 620: loss 1.5304, time 20.72ms, mfu 17.43%
[2025-03-18 07:03:31] iter 630: loss 1.5150, time 20.63ms, mfu 17.49%
[2025-03-18 07:03:31] iter 640: loss 1.4736, time 20.77ms, mfu 17.54%
[2025-03-18 07:03:31] iter 650: loss 1.5018, time 20.64ms, mfu 17.59%
[2025-03-18 07:03:31] iter 660: loss 1.5075, time 20.76ms, mfu 17.62%
