[2025-03-18 06:45:45] tokens per iteration will be: 16,384
[2025-03-18 06:45:45] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2025-03-18 06:45:45] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2025-03-18 06:45:46] compiling the model... (takes a ~minute)
[2025-03-18 06:45:51] step 0: train loss 4.2874, val loss 4.2823
[2025-03-18 06:45:54] iter 0: loss 4.2654, time 7165.43ms, mfu -100.00%
[2025-03-18 06:45:54] iter 10: loss 3.1462, time 21.34ms, mfu 17.46%
[2025-03-18 06:45:54] iter 20: loss 2.7323, time 20.73ms, mfu 17.52%
[2025-03-18 06:45:54] iter 30: loss 2.6184, time 20.65ms, mfu 17.57%
[2025-03-18 06:45:55] iter 40: loss 2.5758, time 20.80ms, mfu 17.60%
[2025-03-18 06:45:55] iter 50: loss 2.5249, time 20.71ms, mfu 17.64%
[2025-03-18 06:45:55] iter 60: loss 2.5144, time 20.61ms, mfu 17.69%
[2025-03-18 06:45:55] iter 70: loss 2.4947, time 20.77ms, mfu 17.71%
[2025-03-18 06:45:55] iter 80: loss 2.4935, time 20.71ms, mfu 17.74%
[2025-03-18 06:45:56] iter 90: loss 2.4681, time 20.69ms, mfu 17.77%
[2025-03-18 06:45:56] iter 100: loss 2.4591, time 20.77ms, mfu 17.78%
[2025-03-18 06:45:56] iter 110: loss 2.4625, time 20.65ms, mfu 17.81%
[2025-03-18 06:45:56] iter 120: loss 2.4303, time 20.64ms, mfu 17.83%
[2025-03-18 06:45:56] iter 130: loss 2.4133, time 20.76ms, mfu 17.84%
[2025-03-18 06:45:57] iter 140: loss 2.4136, time 20.71ms, mfu 17.86%
[2025-03-18 06:45:57] iter 150: loss 2.4173, time 20.78ms, mfu 17.87%
[2025-03-18 06:45:57] iter 160: loss 2.3795, time 20.63ms, mfu 17.89%
[2025-03-18 06:45:57] iter 170: loss 2.3507, time 20.74ms, mfu 17.89%
[2025-03-18 06:45:57] iter 180: loss 2.3226, time 20.70ms, mfu 17.90%
[2025-03-18 06:45:58] iter 190: loss 2.2501, time 20.64ms, mfu 17.92%
[2025-03-18 06:45:58] iter 200: loss 2.2136, time 20.79ms, mfu 17.92%
[2025-03-18 06:45:58] iter 210: loss 2.1459, time 20.67ms, mfu 17.93%
[2025-03-18 06:45:58] iter 220: loss 2.1426, time 20.73ms, mfu 17.93%
[2025-03-18 06:45:58] iter 230: loss 2.0684, time 20.72ms, mfu 17.94%
[2025-03-18 06:45:59] iter 240: loss 2.0887, time 20.65ms, mfu 17.95%
[2025-03-18 06:46:02] step 250: train loss 1.9738, val loss 2.0720
[2025-03-18 06:46:02] saving checkpoint to out-shakespeare-char
[2025-03-18 06:46:02] iter 250: loss 2.0370, time 3164.07ms, mfu 16.17%
[2025-03-18 06:46:02] iter 260: loss 1.9815, time 20.79ms, mfu 16.34%
[2025-03-18 06:46:02] iter 270: loss 1.9815, time 20.71ms, mfu 16.51%
[2025-03-18 06:46:03] iter 280: loss 1.9801, time 20.69ms, mfu 16.66%
[2025-03-18 06:46:03] iter 290: loss 1.9161, time 20.77ms, mfu 16.79%
[2025-03-18 06:46:03] iter 300: loss 1.9022, time 20.67ms, mfu 16.91%
[2025-03-18 06:46:03] iter 310: loss 1.8732, time 20.69ms, mfu 17.02%
[2025-03-18 06:46:03] iter 320: loss 1.8490, time 20.76ms, mfu 17.11%
[2025-03-18 06:46:04] iter 330: loss 1.8159, time 20.69ms, mfu 17.20%
[2025-03-18 06:46:04] iter 340: loss 1.8011, time 20.75ms, mfu 17.28%
[2025-03-18 06:46:04] iter 350: loss 1.8264, time 20.72ms, mfu 17.35%
[2025-03-18 06:46:04] iter 360: loss 1.7725, time 20.78ms, mfu 17.41%
[2025-03-18 06:46:04] iter 370: loss 1.7420, time 20.69ms, mfu 17.47%
[2025-03-18 06:46:05] iter 380: loss 1.7336, time 20.75ms, mfu 17.52%
[2025-03-18 06:46:05] iter 390: loss 1.7353, time 20.66ms, mfu 17.57%
[2025-03-18 06:46:05] iter 400: loss 1.7643, time 20.77ms, mfu 17.61%
[2025-03-18 06:46:05] iter 410: loss 1.6978, time 20.63ms, mfu 17.65%
[2025-03-18 06:46:05] iter 420: loss 1.7075, time 20.67ms, mfu 17.69%
[2025-03-18 06:46:06] iter 430: loss 1.6835, time 20.76ms, mfu 17.71%
[2025-03-18 06:46:06] iter 440: loss 1.6514, time 20.69ms, mfu 17.74%
[2025-03-18 06:46:06] iter 450: loss 1.6507, time 20.77ms, mfu 17.76%
[2025-03-18 06:46:06] iter 460: loss 1.6004, time 20.73ms, mfu 17.79%
[2025-03-18 06:46:07] iter 470: loss 1.6448, time 20.75ms, mfu 17.80%
[2025-03-18 06:46:07] iter 480: loss 1.6244, time 20.72ms, mfu 17.82%
[2025-03-18 06:46:07] iter 490: loss 1.5992, time 20.80ms, mfu 17.83%
[2025-03-18 06:46:10] step 500: train loss 1.5200, val loss 1.7112
[2025-03-18 06:46:10] saving checkpoint to out-shakespeare-char
[2025-03-18 06:46:10] iter 500: loss 1.5974, time 3167.92ms, mfu 16.06%
[2025-03-18 06:46:10] iter 510: loss 1.6020, time 20.77ms, mfu 16.25%
[2025-03-18 06:46:11] iter 520: loss 1.5991, time 20.70ms, mfu 16.42%
[2025-03-18 06:46:11] iter 530: loss 1.5606, time 20.75ms, mfu 16.58%
[2025-03-18 06:46:11] iter 540: loss 1.6138, time 20.71ms, mfu 16.72%
[2025-03-18 06:46:11] iter 550: loss 1.5561, time 20.77ms, mfu 16.84%
[2025-03-18 06:46:11] iter 560: loss 1.5584, time 20.72ms, mfu 16.96%
[2025-03-18 06:46:12] iter 570: loss 1.5632, time 20.61ms, mfu 17.07%
[2025-03-18 06:46:12] iter 580: loss 1.5301, time 20.75ms, mfu 17.16%
[2025-03-18 06:46:12] iter 590: loss 1.4986, time 20.68ms, mfu 17.24%
[2025-03-18 06:46:12] iter 600: loss 1.5096, time 20.76ms, mfu 17.31%
[2025-03-18 06:46:13] iter 610: loss 1.5486, time 20.73ms, mfu 17.38%
[2025-03-18 06:46:13] iter 620: loss 1.5271, time 20.62ms, mfu 17.45%
[2025-03-18 06:46:13] iter 630: loss 1.5118, time 20.75ms, mfu 17.50%
[2025-03-18 06:46:13] iter 640: loss 1.4702, time 20.68ms, mfu 17.55%
[2025-03-18 06:46:13] iter 650: loss 1.5028, time 20.77ms, mfu 17.59%
[2025-03-18 06:46:14] iter 660: loss 1.5085, time 20.71ms, mfu 17.63%
[2025-03-18 06:46:14] iter 670: loss 1.4463, time 20.76ms, mfu 17.66%
[2025-03-18 06:46:14] iter 680: loss 1.5094, time 20.71ms, mfu 17.70%
[2025-03-18 06:46:14] iter 690: loss 1.4666, time 20.79ms, mfu 17.72%
[2025-03-18 06:46:14] iter 700: loss 1.4827, time 20.65ms, mfu 17.75%
[2025-03-18 06:46:15] iter 710: loss 1.4558, time 20.76ms, mfu 17.77%
[2025-03-18 06:46:15] iter 720: loss 1.4383, time 20.64ms, mfu 17.80%
[2025-03-18 06:46:15] iter 730: loss 1.4258, time 20.77ms, mfu 17.81%
[2025-03-18 06:46:15] iter 740: loss 1.4307, time 20.76ms, mfu 17.83%
[2025-03-18 06:46:18] step 750: train loss 1.3626, val loss 1.5951
[2025-03-18 06:46:18] saving checkpoint to out-shakespeare-char
[2025-03-18 06:46:19] iter 750: loss 1.4232, time 3170.06ms, mfu 16.06%
[2025-03-18 06:46:19] iter 760: loss 1.4439, time 20.65ms, mfu 16.25%
[2025-03-18 06:46:19] iter 770: loss 1.4314, time 20.72ms, mfu 16.43%
[2025-03-18 06:46:19] iter 780: loss 1.4167, time 20.63ms, mfu 16.59%
[2025-03-18 06:46:19] iter 790: loss 1.4176, time 20.75ms, mfu 16.73%
[2025-03-18 06:46:20] iter 800: loss 1.4367, time 20.72ms, mfu 16.85%
[2025-03-18 06:46:20] iter 810: loss 1.4028, time 20.80ms, mfu 16.96%
[2025-03-18 06:46:20] iter 820: loss 1.4058, time 20.62ms, mfu 17.07%
[2025-03-18 06:46:20] iter 830: loss 1.3916, time 20.74ms, mfu 17.16%
[2025-03-18 06:46:20] iter 840: loss 1.3993, time 20.63ms, mfu 17.25%
[2025-03-18 06:46:21] iter 850: loss 1.3953, time 20.76ms, mfu 17.32%
[2025-03-18 06:46:21] iter 860: loss 1.3959, time 20.70ms, mfu 17.39%
[2025-03-18 06:46:21] iter 870: loss 1.3941, time 20.60ms, mfu 17.46%
[2025-03-18 06:46:21] iter 880: loss 1.3734, time 20.74ms, mfu 17.51%
[2025-03-18 06:46:21] iter 890: loss 1.3887, time 20.69ms, mfu 17.56%
[2025-03-18 06:46:22] iter 900: loss 1.3668, time 20.79ms, mfu 17.60%
[2025-03-18 06:46:22] iter 910: loss 1.3155, time 20.67ms, mfu 17.64%
[2025-03-18 06:46:22] iter 920: loss 1.3614, time 20.67ms, mfu 17.68%
[2025-03-18 06:46:22] iter 930: loss 1.3608, time 20.73ms, mfu 17.71%
[2025-03-18 06:46:22] iter 940: loss 1.3401, time 20.71ms, mfu 17.74%
[2025-03-18 06:46:23] iter 950: loss 1.3479, time 20.81ms, mfu 17.75%
[2025-03-18 06:46:23] iter 960: loss 1.3631, time 20.65ms, mfu 17.78%
[2025-03-18 06:46:23] iter 970: loss 1.3559, time 20.69ms, mfu 17.81%
[2025-03-18 06:46:23] iter 980: loss 1.3525, time 20.70ms, mfu 17.82%
[2025-03-18 06:46:23] iter 990: loss 1.3369, time 20.65ms, mfu 17.85%
[2025-03-18 06:46:27] step 1000: train loss 1.2751, val loss 1.5218
[2025-03-18 06:46:27] saving checkpoint to out-shakespeare-char
[2025-03-18 06:46:27] iter 1000: loss 1.3313, time 3166.61ms, mfu 16.07%
[2025-03-18 06:46:27] iter 1010: loss 1.3429, time 20.73ms, mfu 16.26%
[2025-03-18 06:46:27] iter 1020: loss 1.3064, time 20.76ms, mfu 16.43%
[2025-03-18 06:46:27] iter 1030: loss 1.3369, time 20.72ms, mfu 16.59%
[2025-03-18 06:46:28] iter 1040: loss 1.3573, time 20.78ms, mfu 16.72%
[2025-03-18 06:46:28] iter 1050: loss 1.2899, time 20.68ms, mfu 16.85%
[2025-03-18 06:46:28] iter 1060: loss 1.3398, time 20.75ms, mfu 16.96%
[2025-03-18 06:46:28] iter 1070: loss 1.3308, time 20.71ms, mfu 17.06%
[2025-03-18 06:46:28] iter 1080: loss 1.3353, time 20.79ms, mfu 17.15%
[2025-03-18 06:46:29] iter 1090: loss 1.3448, time 20.72ms, mfu 17.23%
[2025-03-18 06:46:29] iter 1100: loss 1.3126, time 20.62ms, mfu 17.32%
[2025-03-18 06:46:29] iter 1110: loss 1.2971, time 20.75ms, mfu 17.38%
[2025-03-18 06:46:29] iter 1120: loss 1.2980, time 20.63ms, mfu 17.45%
[2025-03-18 06:46:29] iter 1130: loss 1.2855, time 20.72ms, mfu 17.50%
[2025-03-18 06:46:30] iter 1140: loss 1.2916, time 20.73ms, mfu 17.55%
[2025-03-18 06:46:30] iter 1150: loss 1.3096, time 20.68ms, mfu 17.60%
[2025-03-18 06:46:30] iter 1160: loss 1.3216, time 20.77ms, mfu 17.63%
[2025-03-18 06:46:30] iter 1170: loss 1.2950, time 20.72ms, mfu 17.67%
[2025-03-18 06:46:31] iter 1180: loss 1.3129, time 20.78ms, mfu 17.69%
[2025-03-18 06:46:31] iter 1190: loss 1.2719, time 20.66ms, mfu 17.73%
[2025-03-18 06:46:31] iter 1200: loss 1.2901, time 20.74ms, mfu 17.75%
[2025-03-18 06:46:31] iter 1210: loss 1.2598, time 20.67ms, mfu 17.78%
[2025-03-18 06:46:31] iter 1220: loss 1.3045, time 20.73ms, mfu 17.80%
[2025-03-18 06:46:32] iter 1230: loss 1.2995, time 20.71ms, mfu 17.82%
[2025-03-18 06:46:32] iter 1240: loss 1.2934, time 20.64ms, mfu 17.84%
[2025-03-18 06:46:35] step 1250: train loss 1.2046, val loss 1.4890
[2025-03-18 06:46:35] saving checkpoint to out-shakespeare-char
[2025-03-18 06:46:35] iter 1250: loss 1.2719, time 3160.53ms, mfu 16.07%
[2025-03-18 06:46:35] iter 1260: loss 1.2845, time 20.68ms, mfu 16.26%
[2025-03-18 06:46:35] iter 1270: loss 1.2606, time 20.67ms, mfu 16.44%
[2025-03-18 06:46:36] iter 1280: loss 1.2490, time 20.69ms, mfu 16.60%
[2025-03-18 06:46:36] iter 1290: loss 1.2850, time 20.76ms, mfu 16.73%
[2025-03-18 06:46:36] iter 1300: loss 1.3004, time 20.71ms, mfu 16.86%
[2025-03-18 06:46:36] iter 1310: loss 1.2320, time 20.74ms, mfu 16.97%
[2025-03-18 06:46:36] iter 1320: loss 1.3041, time 20.71ms, mfu 17.07%
[2025-03-18 06:46:37] iter 1330: loss 1.2652, time 20.78ms, mfu 17.16%
