[2025-01-05 03:45:43] tokens per iteration will be: 16,384
[2025-01-05 03:45:43] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2025-01-05 03:45:43] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2025-01-05 03:45:43] compiling the model... (takes a ~minute)
[2025-01-05 03:45:49] step 0: train loss 4.2874, val loss 4.2823
[2025-01-05 03:45:51] iter 0: loss 4.2654, time 7144.72ms, mfu -100.00%
[2025-01-05 03:45:51] iter 10: loss 3.1461, time 21.24ms, mfu 17.54%
[2025-01-05 03:45:51] iter 20: loss 2.7319, time 20.45ms, mfu 17.61%
[2025-01-05 03:45:52] iter 30: loss 2.6183, time 20.52ms, mfu 17.66%
[2025-01-05 03:45:52] iter 40: loss 2.5756, time 20.51ms, mfu 17.71%
[2025-01-05 03:45:52] iter 50: loss 2.5250, time 20.51ms, mfu 17.76%
[2025-01-05 03:45:52] iter 60: loss 2.5145, time 20.52ms, mfu 17.80%
[2025-01-05 03:45:53] iter 70: loss 2.4946, time 20.50ms, mfu 17.84%
[2025-01-05 03:45:53] iter 80: loss 2.4937, time 20.50ms, mfu 17.87%
[2025-01-05 03:45:53] iter 90: loss 2.4688, time 20.50ms, mfu 17.90%
[2025-01-05 03:45:53] iter 100: loss 2.4596, time 20.51ms, mfu 17.93%
[2025-01-05 03:45:53] iter 110: loss 2.4602, time 20.51ms, mfu 17.95%
[2025-01-05 03:45:54] iter 120: loss 2.4282, time 20.52ms, mfu 17.97%
[2025-01-05 03:45:54] iter 130: loss 2.4125, time 20.50ms, mfu 17.99%
[2025-01-05 03:45:54] iter 140: loss 2.3977, time 20.52ms, mfu 18.01%
[2025-01-05 03:45:54] iter 150: loss 2.4069, time 20.51ms, mfu 18.03%
[2025-01-05 03:45:54] iter 160: loss 2.3647, time 20.52ms, mfu 18.04%
[2025-01-05 03:45:55] iter 170: loss 2.3529, time 20.52ms, mfu 18.05%
[2025-01-05 03:45:55] iter 180: loss 2.3037, time 20.51ms, mfu 18.06%
