[2024-12-17 01:36:50] tokens per iteration will be: 16,384
[2024-12-17 01:36:50] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2024-12-17 01:36:50] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2024-12-17 01:36:51] compiling the model... (takes a ~minute)
[2024-12-17 01:36:56] step 0: train loss 4.2874, val loss 4.2823
[2024-12-17 01:36:59] iter 0: loss 4.2654, time 6926.24ms, mfu -100.00%
[2024-12-17 01:36:59] iter 10: loss 3.1461, time 21.33ms, mfu 17.47%
[2024-12-17 01:36:59] iter 20: loss 2.7313, time 20.49ms, mfu 17.54%
[2024-12-17 01:36:59] iter 30: loss 2.6179, time 20.49ms, mfu 17.61%
[2024-12-17 01:36:59] iter 40: loss 2.5754, time 20.48ms, mfu 17.67%
[2024-12-17 01:37:00] iter 50: loss 2.5249, time 20.49ms, mfu 17.72%
[2024-12-17 01:37:00] iter 60: loss 2.5141, time 20.51ms, mfu 17.76%
[2024-12-17 01:37:00] iter 70: loss 2.4945, time 20.49ms, mfu 17.80%
[2024-12-17 01:37:00] iter 80: loss 2.4935, time 20.49ms, mfu 17.84%
[2024-12-17 01:37:00] iter 90: loss 2.4688, time 20.50ms, mfu 17.88%
[2024-12-17 01:37:01] iter 100: loss 2.4605, time 20.49ms, mfu 17.91%
[2024-12-17 01:37:01] iter 110: loss 2.4622, time 20.48ms, mfu 17.94%
[2024-12-17 01:37:01] iter 120: loss 2.4285, time 20.49ms, mfu 17.96%
[2024-12-17 01:37:01] iter 130: loss 2.4113, time 20.48ms, mfu 17.99%
[2024-12-17 01:37:01] iter 140: loss 2.4155, time 20.48ms, mfu 18.01%
[2024-12-17 01:37:02] iter 150: loss 2.4129, time 20.50ms, mfu 18.02%
[2024-12-17 01:37:02] iter 160: loss 2.3681, time 20.50ms, mfu 18.04%
[2024-12-17 01:37:02] iter 170: loss 2.3465, time 20.50ms, mfu 18.05%
[2024-12-17 01:37:02] iter 180: loss 2.3124, time 20.50ms, mfu 18.07%
[2024-12-17 01:37:02] iter 190: loss 2.2534, time 20.51ms, mfu 18.08%
[2024-12-17 01:37:03] iter 200: loss 2.2067, time 20.50ms, mfu 18.09%
[2024-12-17 01:37:03] iter 210: loss 2.1442, time 20.48ms, mfu 18.10%
[2024-12-17 01:37:03] iter 220: loss 2.1502, time 20.48ms, mfu 18.11%
[2024-12-17 01:37:03] iter 230: loss 2.0808, time 20.49ms, mfu 18.11%
[2024-12-17 01:37:03] iter 240: loss 2.0796, time 20.48ms, mfu 18.12%
[2024-12-17 01:37:07] step 250: train loss 1.9719, val loss 2.0675
[2024-12-17 01:37:07] saving checkpoint to out-shakespeare-char
[2024-12-17 01:37:07] iter 250: loss 2.0342, time 3089.62ms, mfu 16.32%
[2024-12-17 01:37:07] iter 260: loss 1.9768, time 20.50ms, mfu 16.51%
[2024-12-17 01:37:07] iter 270: loss 1.9774, time 20.49ms, mfu 16.68%
[2024-12-17 01:37:07] iter 280: loss 1.9760, time 20.48ms, mfu 16.83%
[2024-12-17 01:37:08] iter 290: loss 1.9105, time 20.56ms, mfu 16.96%
[2024-12-17 01:37:08] iter 300: loss 1.9000, time 20.54ms, mfu 17.07%
[2024-12-17 01:37:08] iter 310: loss 1.8658, time 20.55ms, mfu 17.18%
[2024-12-17 01:37:08] iter 320: loss 1.8523, time 20.54ms, mfu 17.28%
[2024-12-17 01:37:08] iter 330: loss 1.8142, time 20.54ms, mfu 17.36%
[2024-12-17 01:37:09] iter 340: loss 1.7925, time 20.53ms, mfu 17.44%
[2024-12-17 01:37:09] iter 350: loss 1.8311, time 20.54ms, mfu 17.51%
[2024-12-17 01:37:09] iter 360: loss 1.7691, time 20.53ms, mfu 17.58%
[2024-12-17 01:37:09] iter 370: loss 1.7442, time 20.56ms, mfu 17.63%
[2024-12-17 01:37:09] iter 380: loss 1.7353, time 20.54ms, mfu 17.68%
[2024-12-17 01:37:10] iter 390: loss 1.7301, time 20.56ms, mfu 17.73%
[2024-12-17 01:37:10] iter 400: loss 1.7626, time 20.54ms, mfu 17.77%
[2024-12-17 01:37:10] iter 410: loss 1.6917, time 20.53ms, mfu 17.81%
[2024-12-17 01:37:10] iter 420: loss 1.7119, time 20.54ms, mfu 17.84%
[2024-12-17 01:37:10] iter 430: loss 1.6799, time 20.55ms, mfu 17.87%
[2024-12-17 01:37:11] iter 440: loss 1.6491, time 20.55ms, mfu 17.90%
[2024-12-17 01:37:11] iter 450: loss 1.6440, time 20.54ms, mfu 17.92%
[2024-12-17 01:37:11] iter 460: loss 1.5946, time 20.55ms, mfu 17.94%
[2024-12-17 01:37:11] iter 470: loss 1.6462, time 20.54ms, mfu 17.96%
[2024-12-17 01:37:11] iter 480: loss 1.6158, time 20.55ms, mfu 17.98%
[2024-12-17 01:37:12] iter 490: loss 1.5934, time 20.54ms, mfu 17.99%
[2024-12-17 01:37:15] step 500: train loss 1.5216, val loss 1.7208
[2024-12-17 01:37:15] saving checkpoint to out-shakespeare-char
[2024-12-17 01:37:15] iter 500: loss 1.5972, time 3085.76ms, mfu 16.21%
[2024-12-17 01:37:15] iter 510: loss 1.6120, time 20.54ms, mfu 16.40%
[2024-12-17 01:37:15] iter 520: loss 1.5842, time 20.55ms, mfu 16.57%
[2024-12-17 01:37:15] iter 530: loss 1.5587, time 20.53ms, mfu 16.73%
[2024-12-17 01:37:16] iter 540: loss 1.6098, time 20.52ms, mfu 16.87%
[2024-12-17 01:37:16] iter 550: loss 1.5579, time 20.54ms, mfu 17.00%
[2024-12-17 01:37:16] iter 560: loss 1.5523, time 20.52ms, mfu 17.12%
[2024-12-17 01:37:16] iter 570: loss 1.5557, time 20.55ms, mfu 17.22%
[2024-12-17 01:37:16] iter 580: loss 1.5267, time 20.55ms, mfu 17.31%
[2024-12-17 01:37:17] iter 590: loss 1.4900, time 20.55ms, mfu 17.39%
[2024-12-17 01:37:17] iter 600: loss 1.5084, time 20.46ms, mfu 17.47%
[2024-12-17 01:37:17] iter 610: loss 1.5445, time 20.54ms, mfu 17.54%
[2024-12-17 01:37:17] iter 620: loss 1.5269, time 20.53ms, mfu 17.60%
[2024-12-17 01:37:18] iter 630: loss 1.5059, time 20.54ms, mfu 17.66%
[2024-12-17 01:37:18] iter 640: loss 1.4629, time 20.54ms, mfu 17.70%
