[2024-12-17 00:24:34] tokens per iteration will be: 16,384
[2024-12-17 00:24:34] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2024-12-17 00:24:34] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2024-12-17 00:24:35] compiling the model... (takes a ~minute)
[2024-12-17 00:24:40] step 0: train loss 4.2874, val loss 4.2823
[2024-12-17 00:24:42] iter 0: loss 4.2654, time 6972.00ms, mfu -100.00%
[2024-12-17 00:24:42] iter 10: loss 3.1461, time 21.23ms, mfu 17.55%
[2024-12-17 00:24:43] iter 20: loss 2.7309, time 20.50ms, mfu 17.61%
[2024-12-17 00:24:43] iter 30: loss 2.6176, time 20.50ms, mfu 17.67%
[2024-12-17 00:24:43] iter 40: loss 2.5753, time 20.49ms, mfu 17.72%
[2024-12-17 00:24:43] iter 50: loss 2.5250, time 20.48ms, mfu 17.77%
[2024-12-17 00:24:43] iter 60: loss 2.5141, time 20.47ms, mfu 17.81%
[2024-12-17 00:24:44] iter 70: loss 2.4947, time 20.49ms, mfu 17.85%
[2024-12-17 00:24:44] iter 80: loss 2.4934, time 20.50ms, mfu 17.88%
[2024-12-17 00:24:44] iter 90: loss 2.4697, time 20.50ms, mfu 17.91%
[2024-12-17 00:24:44] iter 100: loss 2.4800, time 20.54ms, mfu 17.93%
[2024-12-17 00:24:44] iter 110: loss 2.4614, time 20.52ms, mfu 17.96%
[2024-12-17 00:24:45] iter 120: loss 2.4271, time 20.53ms, mfu 17.98%
[2024-12-17 00:24:45] iter 130: loss 2.4090, time 20.53ms, mfu 17.99%
[2024-12-17 00:24:45] iter 140: loss 2.4059, time 20.55ms, mfu 18.01%
[2024-12-17 00:24:45] iter 150: loss 2.4125, time 20.53ms, mfu 18.02%
[2024-12-17 00:24:46] iter 160: loss 2.3714, time 20.54ms, mfu 18.03%
[2024-12-17 00:24:46] iter 170: loss 2.3589, time 20.53ms, mfu 18.05%
[2024-12-17 00:24:46] iter 180: loss 2.3388, time 20.54ms, mfu 18.05%
[2024-12-17 00:24:46] iter 190: loss 2.2523, time 20.55ms, mfu 18.06%
[2024-12-17 00:24:46] iter 200: loss 2.2074, time 20.54ms, mfu 18.07%
[2024-12-17 00:24:47] iter 210: loss 2.1413, time 20.53ms, mfu 18.08%
[2024-12-17 00:24:47] iter 220: loss 2.1480, time 20.52ms, mfu 18.09%
[2024-12-17 00:24:47] iter 230: loss 2.0726, time 20.53ms, mfu 18.09%
[2024-12-17 00:24:47] iter 240: loss 2.0815, time 20.53ms, mfu 18.10%
[2024-12-17 00:24:50] step 250: train loss 1.9712, val loss 2.0714
[2024-12-17 00:24:50] saving checkpoint to out-shakespeare-char
[2024-12-17 00:24:50] iter 250: loss 2.0348, time 3091.87ms, mfu 16.30%
[2024-12-17 00:24:51] iter 260: loss 1.9782, time 20.52ms, mfu 16.49%
[2024-12-17 00:24:51] iter 270: loss 1.9830, time 20.54ms, mfu 16.65%
[2024-12-17 00:24:51] iter 280: loss 1.9818, time 20.53ms, mfu 16.80%
[2024-12-17 00:24:51] iter 290: loss 1.9160, time 20.52ms, mfu 16.94%
[2024-12-17 00:24:51] iter 300: loss 1.9004, time 20.53ms, mfu 17.06%
[2024-12-17 00:24:52] iter 310: loss 1.8667, time 20.56ms, mfu 17.17%
[2024-12-17 00:24:52] iter 320: loss 1.8484, time 20.53ms, mfu 17.26%
[2024-12-17 00:24:52] iter 330: loss 1.8215, time 20.53ms, mfu 17.35%
[2024-12-17 00:24:52] iter 340: loss 1.7896, time 20.54ms, mfu 17.43%
[2024-12-17 00:24:52] iter 350: loss 1.8273, time 20.54ms, mfu 17.50%
[2024-12-17 00:24:53] iter 360: loss 1.7733, time 20.53ms, mfu 17.57%
[2024-12-17 00:24:53] iter 370: loss 1.7473, time 20.52ms, mfu 17.63%
[2024-12-17 00:24:53] iter 380: loss 1.7270, time 20.52ms, mfu 17.68%
[2024-12-17 00:24:53] iter 390: loss 1.7344, time 20.53ms, mfu 17.73%
[2024-12-17 00:24:53] iter 400: loss 1.7661, time 20.53ms, mfu 17.77%
[2024-12-17 00:24:54] iter 410: loss 1.6979, time 20.52ms, mfu 17.81%
[2024-12-17 00:24:54] iter 420: loss 1.7143, time 20.53ms, mfu 17.84%
[2024-12-17 00:24:54] iter 430: loss 1.6860, time 20.53ms, mfu 17.87%
[2024-12-17 00:24:54] iter 440: loss 1.6513, time 20.53ms, mfu 17.90%
[2024-12-17 00:24:54] iter 450: loss 1.6527, time 20.54ms, mfu 17.92%
[2024-12-17 00:24:55] iter 460: loss 1.5955, time 20.53ms, mfu 17.95%
[2024-12-17 00:24:55] iter 470: loss 1.6429, time 20.54ms, mfu 17.97%
[2024-12-17 00:24:55] iter 480: loss 1.6166, time 20.54ms, mfu 17.98%
[2024-12-17 00:24:55] iter 490: loss 1.5968, time 20.53ms, mfu 18.00%
[2024-12-17 00:24:58] step 500: train loss 1.5183, val loss 1.7195
[2024-12-17 00:24:58] saving checkpoint to out-shakespeare-char
[2024-12-17 00:24:59] iter 500: loss 1.5933, time 3093.26ms, mfu 16.21%
[2024-12-17 00:24:59] iter 510: loss 1.6096, time 20.48ms, mfu 16.41%
[2024-12-17 00:24:59] iter 520: loss 1.5860, time 20.53ms, mfu 16.58%
[2024-12-17 00:24:59] iter 530: loss 1.5573, time 20.54ms, mfu 16.74%
[2024-12-17 00:24:59] iter 540: loss 1.6211, time 20.52ms, mfu 16.88%
