[2025-01-05 21:57:08] tokens per iteration will be: 16,384
[2025-01-05 21:57:08] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2025-01-05 21:57:08] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2025-01-05 21:57:09] compiling the model... (takes a ~minute)
[2025-01-05 21:57:14] step 0: train loss 4.2874, val loss 4.2823
[2025-01-05 21:57:16] iter 0: loss 4.2654, time 6870.17ms, mfu -100.00%
[2025-01-05 21:57:16] iter 10: loss 3.1462, time 21.24ms, mfu 17.54%
[2025-01-05 21:57:16] iter 20: loss 2.7316, time 20.48ms, mfu 17.61%
[2025-01-05 21:57:17] iter 30: loss 2.6182, time 20.52ms, mfu 17.66%
[2025-01-05 21:57:17] iter 40: loss 2.5755, time 20.55ms, mfu 17.71%
[2025-01-05 21:57:17] iter 50: loss 2.5250, time 20.52ms, mfu 17.76%
[2025-01-05 21:57:17] iter 60: loss 2.5144, time 20.52ms, mfu 17.80%
[2025-01-05 21:57:17] iter 70: loss 2.4945, time 20.52ms, mfu 17.83%
[2025-01-05 21:57:18] iter 80: loss 2.4938, time 20.51ms, mfu 17.87%
[2025-01-05 21:57:18] iter 90: loss 2.4675, time 20.55ms, mfu 17.89%
[2025-01-05 21:57:18] iter 100: loss 2.4594, time 20.54ms, mfu 17.92%
[2025-01-05 21:57:18] iter 110: loss 2.4649, time 20.51ms, mfu 17.94%
[2025-01-05 21:57:18] iter 120: loss 2.4265, time 20.53ms, mfu 17.96%
[2025-01-05 21:57:19] iter 130: loss 2.4119, time 20.52ms, mfu 17.98%
[2025-01-05 21:57:19] iter 140: loss 2.4155, time 20.53ms, mfu 18.00%
[2025-01-05 21:57:19] iter 150: loss 2.4139, time 20.53ms, mfu 18.01%
[2025-01-05 21:57:19] iter 160: loss 2.3755, time 20.52ms, mfu 18.03%
[2025-01-05 21:57:19] iter 170: loss 2.3576, time 20.54ms, mfu 18.04%
[2025-01-05 21:57:20] iter 180: loss 2.3154, time 20.53ms, mfu 18.05%
[2025-01-05 21:57:20] iter 190: loss 2.2635, time 20.54ms, mfu 18.06%
[2025-01-05 21:57:20] iter 200: loss 2.2109, time 20.53ms, mfu 18.07%
[2025-01-05 21:57:20] iter 210: loss 2.1423, time 20.51ms, mfu 18.08%
[2025-01-05 21:57:21] iter 220: loss 2.1445, time 20.53ms, mfu 18.09%
[2025-01-05 21:57:21] iter 230: loss 2.0795, time 20.52ms, mfu 18.09%
[2025-01-05 21:57:21] iter 240: loss 2.0789, time 20.52ms, mfu 18.10%
[2025-01-05 21:57:24] step 250: train loss 1.9725, val loss 2.0714
[2025-01-05 21:57:24] saving checkpoint to out-shakespeare-char
[2025-01-05 21:57:24] iter 250: loss 2.0365, time 3080.99ms, mfu 16.30%
[2025-01-05 21:57:24] iter 260: loss 1.9813, time 20.52ms, mfu 16.49%
[2025-01-05 21:57:25] iter 270: loss 1.9788, time 20.52ms, mfu 16.66%
[2025-01-05 21:57:25] iter 280: loss 1.9797, time 20.52ms, mfu 16.81%
[2025-01-05 21:57:25] iter 290: loss 1.9117, time 20.52ms, mfu 16.94%
[2025-01-05 21:57:25] iter 300: loss 1.9025, time 20.52ms, mfu 17.06%
[2025-01-05 21:57:25] iter 310: loss 1.8661, time 20.54ms, mfu 17.17%
[2025-01-05 21:57:26] iter 320: loss 1.8524, time 20.52ms, mfu 17.27%
[2025-01-05 21:57:26] iter 330: loss 1.8202, time 20.53ms, mfu 17.36%
[2025-01-05 21:57:26] iter 340: loss 1.7817, time 20.51ms, mfu 17.44%
[2025-01-05 21:57:26] iter 350: loss 1.8198, time 20.51ms, mfu 17.51%
[2025-01-05 21:57:26] iter 360: loss 1.7707, time 20.52ms, mfu 17.58%
[2025-01-05 21:57:27] iter 370: loss 1.7554, time 20.54ms, mfu 17.63%
[2025-01-05 21:57:27] iter 380: loss 1.7338, time 20.53ms, mfu 17.68%
[2025-01-05 21:57:27] iter 390: loss 1.7335, time 20.55ms, mfu 17.73%
[2025-01-05 21:57:27] iter 400: loss 1.7607, time 20.54ms, mfu 17.77%
[2025-01-05 21:57:27] iter 410: loss 1.6968, time 20.54ms, mfu 17.81%
[2025-01-05 21:57:28] iter 420: loss 1.7173, time 20.54ms, mfu 17.84%
[2025-01-05 21:57:28] iter 430: loss 1.6869, time 20.53ms, mfu 17.87%
[2025-01-05 21:57:28] iter 440: loss 1.6511, time 20.53ms, mfu 17.90%
[2025-01-05 21:57:28] iter 450: loss 1.6506, time 20.55ms, mfu 17.92%
[2025-01-05 21:57:28] iter 460: loss 1.5960, time 20.53ms, mfu 17.95%
[2025-01-05 21:57:29] iter 470: loss 1.6509, time 20.54ms, mfu 17.97%
[2025-01-05 21:57:29] iter 480: loss 1.6273, time 20.53ms, mfu 17.98%
[2025-01-05 21:57:29] iter 490: loss 1.5938, time 20.55ms, mfu 18.00%
[2025-01-05 21:57:32] step 500: train loss 1.5223, val loss 1.7191
[2025-01-05 21:57:32] saving checkpoint to out-shakespeare-char
[2025-01-05 21:57:32] iter 500: loss 1.5968, time 3084.55ms, mfu 16.21%
[2025-01-05 21:57:32] iter 510: loss 1.6089, time 20.54ms, mfu 16.40%
[2025-01-05 21:57:33] iter 520: loss 1.5876, time 20.55ms, mfu 16.58%
[2025-01-05 21:57:33] iter 530: loss 1.5565, time 20.54ms, mfu 16.73%
[2025-01-05 21:57:33] iter 540: loss 1.6179, time 20.53ms, mfu 16.88%
[2025-01-05 21:57:33] iter 550: loss 1.5574, time 20.53ms, mfu 17.00%
[2025-01-05 21:57:34] iter 560: loss 1.5569, time 20.53ms, mfu 17.12%
[2025-01-05 21:57:34] iter 570: loss 1.5661, time 20.53ms, mfu 17.22%
[2025-01-05 21:57:34] iter 580: loss 1.5299, time 20.54ms, mfu 17.31%
[2025-01-05 21:57:34] iter 590: loss 1.4930, time 20.54ms, mfu 17.39%
[2025-01-05 21:57:34] iter 600: loss 1.5144, time 20.55ms, mfu 17.47%
[2025-01-05 21:57:35] iter 610: loss 1.5401, time 20.54ms, mfu 17.54%
[2025-01-05 21:57:35] iter 620: loss 1.5352, time 20.54ms, mfu 17.60%
[2025-01-05 21:57:35] iter 630: loss 1.5063, time 20.54ms, mfu 17.65%
[2025-01-05 21:57:35] iter 640: loss 1.4692, time 20.54ms, mfu 17.70%
[2025-01-05 21:57:35] iter 650: loss 1.5059, time 20.55ms, mfu 17.74%
[2025-01-05 21:57:36] iter 660: loss 1.5028, time 20.52ms, mfu 17.79%
[2025-01-05 21:57:36] iter 670: loss 1.4478, time 20.53ms, mfu 17.82%
[2025-01-05 21:57:36] iter 680: loss 1.5077, time 20.52ms, mfu 17.86%
[2025-01-05 21:57:36] iter 690: loss 1.4698, time 20.55ms, mfu 17.88%
[2025-01-05 21:57:36] iter 700: loss 1.4791, time 20.55ms, mfu 17.91%
[2025-01-05 21:57:37] iter 710: loss 1.4534, time 20.53ms, mfu 17.93%
[2025-01-05 21:57:37] iter 720: loss 1.4428, time 20.54ms, mfu 17.95%
[2025-01-05 21:57:37] iter 730: loss 1.4254, time 20.54ms, mfu 17.97%
[2025-01-05 21:57:37] iter 740: loss 1.4232, time 20.55ms, mfu 17.99%
