[2025-01-05 19:26:04] tokens per iteration will be: 16,384
[2025-01-05 19:26:04] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2025-01-05 19:26:04] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2025-01-05 19:26:05] compiling the model... (takes a ~minute)
[2025-01-05 19:26:10] step 0: train loss 4.2874, val loss 4.2823
[2025-01-05 19:26:13] iter 0: loss 4.2654, time 7066.65ms, mfu -100.00%
[2025-01-05 19:26:13] iter 10: loss 3.1462, time 21.25ms, mfu 17.54%
[2025-01-05 19:26:13] iter 20: loss 2.7315, time 20.53ms, mfu 17.60%
[2025-01-05 19:26:13] iter 30: loss 2.6181, time 20.53ms, mfu 17.65%
[2025-01-05 19:26:13] iter 40: loss 2.5755, time 20.54ms, mfu 17.70%
[2025-01-05 19:26:14] iter 50: loss 2.5251, time 20.53ms, mfu 17.75%
[2025-01-05 19:26:14] iter 60: loss 2.5142, time 20.51ms, mfu 17.79%
[2025-01-05 19:26:14] iter 70: loss 2.4945, time 20.53ms, mfu 17.83%
[2025-01-05 19:26:14] iter 80: loss 2.4939, time 20.52ms, mfu 17.86%
[2025-01-05 19:26:14] iter 90: loss 2.4679, time 20.52ms, mfu 17.89%
[2025-01-05 19:26:15] iter 100: loss 2.4589, time 20.53ms, mfu 17.92%
[2025-01-05 19:26:15] iter 110: loss 2.4619, time 20.53ms, mfu 17.94%
[2025-01-05 19:26:15] iter 120: loss 2.4303, time 20.53ms, mfu 17.96%
[2025-01-05 19:26:15] iter 130: loss 2.4133, time 20.53ms, mfu 17.98%
[2025-01-05 19:26:15] iter 140: loss 2.4146, time 20.52ms, mfu 18.00%
[2025-01-05 19:26:16] iter 150: loss 2.4169, time 20.52ms, mfu 18.01%
[2025-01-05 19:26:16] iter 160: loss 2.3866, time 20.51ms, mfu 18.03%
[2025-01-05 19:26:16] iter 170: loss 2.3574, time 20.53ms, mfu 18.04%
[2025-01-05 19:26:16] iter 180: loss 2.3205, time 20.53ms, mfu 18.05%
[2025-01-05 19:26:16] iter 190: loss 2.2635, time 20.51ms, mfu 18.06%
[2025-01-05 19:26:17] iter 200: loss 2.2217, time 20.54ms, mfu 18.07%
[2025-01-05 19:26:17] iter 210: loss 2.1429, time 20.54ms, mfu 18.08%
[2025-01-05 19:26:17] iter 220: loss 2.1466, time 20.53ms, mfu 18.09%
[2025-01-05 19:26:17] iter 230: loss 2.0711, time 20.54ms, mfu 18.09%
[2025-01-05 19:26:18] iter 240: loss 2.0804, time 20.55ms, mfu 18.10%
[2025-01-05 19:26:21] step 250: train loss 1.9739, val loss 2.0752
[2025-01-05 19:26:21] saving checkpoint to out-shakespeare-char
[2025-01-05 19:26:21] iter 250: loss 2.0372, time 3082.04ms, mfu 16.30%
[2025-01-05 19:26:21] iter 260: loss 1.9815, time 20.54ms, mfu 16.48%
[2025-01-05 19:26:21] iter 270: loss 1.9843, time 20.52ms, mfu 16.65%
[2025-01-05 19:26:21] iter 280: loss 1.9793, time 20.54ms, mfu 16.80%
[2025-01-05 19:26:22] iter 290: loss 1.9154, time 20.54ms, mfu 16.93%
[2025-01-05 19:26:22] iter 300: loss 1.8999, time 20.54ms, mfu 17.05%
[2025-01-05 19:26:22] iter 310: loss 1.8723, time 20.54ms, mfu 17.16%
