[2024-12-27 15:56:48] tokens per iteration will be: 16,384
[2024-12-27 15:56:48] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2024-12-27 15:56:48] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2024-12-27 15:56:49] compiling the model... (takes a ~minute)
[2024-12-27 15:56:54] step 0: train loss 4.2874, val loss 4.2823
[2024-12-27 15:56:57] iter 0: loss 4.2654, time 7144.38ms, mfu -100.00%
[2024-12-27 15:56:57] iter 10: loss 3.1461, time 21.43ms, mfu 17.39%
[2024-12-27 15:56:57] iter 20: loss 2.7312, time 20.68ms, mfu 17.45%
[2024-12-27 15:56:57] iter 30: loss 2.6179, time 20.63ms, mfu 17.51%
[2024-12-27 15:56:57] iter 40: loss 2.5754, time 20.56ms, mfu 17.57%
[2024-12-27 15:56:58] iter 50: loss 2.5250, time 20.74ms, mfu 17.61%
[2024-12-27 15:56:58] iter 60: loss 2.5142, time 20.66ms, mfu 17.66%
[2024-12-27 15:56:58] iter 70: loss 2.4944, time 20.64ms, mfu 17.70%
[2024-12-27 15:56:58] iter 80: loss 2.4938, time 20.76ms, mfu 17.72%
[2024-12-27 15:56:58] iter 90: loss 2.4679, time 20.62ms, mfu 17.76%
[2024-12-27 15:56:59] iter 100: loss 2.4601, time 20.99ms, mfu 17.76%
[2024-12-27 15:56:59] iter 110: loss 2.4622, time 20.67ms, mfu 17.78%
[2024-12-27 15:56:59] iter 120: loss 2.4287, time 20.72ms, mfu 17.80%
[2024-12-27 15:56:59] iter 130: loss 2.4088, time 20.68ms, mfu 17.83%
[2024-12-27 15:56:59] iter 140: loss 2.4181, time 20.78ms, mfu 17.84%
[2024-12-27 15:57:00] iter 150: loss 2.4187, time 20.67ms, mfu 17.86%
[2024-12-27 15:57:00] iter 160: loss 2.3681, time 20.73ms, mfu 17.87%
[2024-12-27 15:57:00] iter 170: loss 2.3703, time 20.71ms, mfu 17.88%
[2024-12-27 15:57:00] iter 180: loss 2.3297, time 20.65ms, mfu 17.90%
[2024-12-27 15:57:00] iter 190: loss 2.2654, time 20.79ms, mfu 17.90%
[2024-12-27 15:57:01] iter 200: loss 2.2131, time 20.69ms, mfu 17.91%
[2024-12-27 15:57:01] iter 210: loss 2.1510, time 20.65ms, mfu 17.92%
[2024-12-27 15:57:01] iter 220: loss 2.1459, time 20.77ms, mfu 17.93%
[2024-12-27 15:57:01] iter 230: loss 2.0784, time 20.70ms, mfu 17.93%
[2024-12-27 15:57:02] iter 240: loss 2.0803, time 20.80ms, mfu 17.93%
[2024-12-27 15:57:05] step 250: train loss 1.9732, val loss 2.0682
[2024-12-27 15:57:05] saving checkpoint to out-shakespeare-char
[2024-12-27 15:57:05] iter 250: loss 2.0363, time 3147.91ms, mfu 16.15%
[2024-12-27 15:57:05] iter 260: loss 1.9830, time 20.76ms, mfu 16.33%
[2024-12-27 15:57:05] iter 270: loss 1.9838, time 20.75ms, mfu 16.49%
[2024-12-27 15:57:05] iter 280: loss 1.9790, time 20.77ms, mfu 16.64%
[2024-12-27 15:57:06] iter 290: loss 1.9140, time 20.66ms, mfu 16.78%
[2024-12-27 15:57:06] iter 300: loss 1.9032, time 20.67ms, mfu 16.90%
[2024-12-27 15:57:06] iter 310: loss 1.8695, time 20.76ms, mfu 17.01%
[2024-12-27 15:57:06] iter 320: loss 1.8553, time 20.70ms, mfu 17.11%
[2024-12-27 15:57:06] iter 330: loss 1.8190, time 20.75ms, mfu 17.19%
[2024-12-27 15:57:07] iter 340: loss 1.7866, time 20.64ms, mfu 17.28%
[2024-12-27 15:57:07] iter 350: loss 1.8320, time 20.75ms, mfu 17.35%
[2024-12-27 15:57:07] iter 360: loss 1.7724, time 20.77ms, mfu 17.41%
[2024-12-27 15:57:07] iter 370: loss 1.7633, time 20.75ms, mfu 17.46%
[2024-12-27 15:57:07] iter 380: loss 1.7337, time 20.76ms, mfu 17.51%
[2024-12-27 15:57:08] iter 390: loss 1.7384, time 20.71ms, mfu 17.56%
[2024-12-27 15:57:08] iter 400: loss 1.7656, time 20.70ms, mfu 17.60%
[2024-12-27 15:57:08] iter 410: loss 1.6957, time 20.74ms, mfu 17.64%
[2024-12-27 15:57:08] iter 420: loss 1.7145, time 20.71ms, mfu 17.68%
[2024-12-27 15:57:09] iter 430: loss 1.6921, time 20.75ms, mfu 17.70%
[2024-12-27 15:57:09] iter 440: loss 1.6572, time 20.63ms, mfu 17.74%
[2024-12-27 15:57:09] iter 450: loss 1.6563, time 20.77ms, mfu 17.76%
[2024-12-27 15:57:09] iter 460: loss 1.6054, time 20.72ms, mfu 17.78%
[2024-12-27 15:57:09] iter 470: loss 1.6487, time 20.65ms, mfu 17.81%
[2024-12-27 15:57:10] iter 480: loss 1.6238, time 20.74ms, mfu 17.82%
[2024-12-27 15:57:10] iter 490: loss 1.5978, time 20.70ms, mfu 17.84%
[2024-12-27 15:57:13] step 500: train loss 1.5256, val loss 1.7200
[2024-12-27 15:57:13] saving checkpoint to out-shakespeare-char
[2024-12-27 15:57:13] iter 500: loss 1.5994, time 3148.59ms, mfu 16.07%
[2024-12-27 15:57:13] iter 510: loss 1.6094, time 20.76ms, mfu 16.26%
[2024-12-27 15:57:13] iter 520: loss 1.6004, time 20.71ms, mfu 16.43%
[2024-12-27 15:57:14] iter 530: loss 1.5591, time 20.78ms, mfu 16.58%
[2024-12-27 15:57:14] iter 540: loss 1.6175, time 20.69ms, mfu 16.72%
[2024-12-27 15:57:14] iter 550: loss 1.5629, time 20.75ms, mfu 16.85%
[2024-12-27 15:57:14] iter 560: loss 1.5549, time 20.65ms, mfu 16.97%
[2024-12-27 15:57:14] iter 570: loss 1.5680, time 20.75ms, mfu 17.07%
[2024-12-27 15:57:15] iter 580: loss 1.5254, time 20.93ms, mfu 17.14%
[2024-12-27 15:57:15] iter 590: loss 1.4978, time 20.71ms, mfu 17.22%
