[2025-01-05 18:52:47] tokens per iteration will be: 16,384
[2025-01-05 18:52:47] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2025-01-05 18:52:47] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2025-01-05 18:52:47] compiling the model... (takes a ~minute)
[2025-01-05 18:52:52] step 0: train loss 4.2874, val loss 4.2823
[2025-01-05 18:52:55] iter 0: loss 4.2654, time 7106.17ms, mfu -100.00%
[2025-01-05 18:52:55] iter 10: loss 3.1461, time 20.53ms, mfu 18.15%
[2025-01-05 18:52:55] iter 20: loss 2.7315, time 20.48ms, mfu 18.15%
[2025-01-05 18:52:56] iter 30: loss 2.6181, time 20.44ms, mfu 18.16%
[2025-01-05 18:52:56] iter 40: loss 2.5755, time 20.53ms, mfu 18.16%
[2025-01-05 18:52:56] iter 50: loss 2.5249, time 20.55ms, mfu 18.16%
[2025-01-05 18:52:56] iter 60: loss 2.5143, time 20.54ms, mfu 18.15%
[2025-01-05 18:52:56] iter 70: loss 2.4946, time 20.54ms, mfu 18.15%
[2025-01-05 18:52:57] iter 80: loss 2.4937, time 20.53ms, mfu 18.15%
[2025-01-05 18:52:57] iter 90: loss 2.4679, time 20.52ms, mfu 18.15%
[2025-01-05 18:52:57] iter 100: loss 2.4590, time 20.53ms, mfu 18.15%
[2025-01-05 18:52:57] iter 110: loss 2.4615, time 20.54ms, mfu 18.15%
[2025-01-05 18:52:57] iter 120: loss 2.4298, time 20.55ms, mfu 18.15%
[2025-01-05 18:52:58] iter 130: loss 2.4127, time 20.53ms, mfu 18.15%
[2025-01-05 18:52:58] iter 140: loss 2.4135, time 20.54ms, mfu 18.15%
[2025-01-05 18:52:58] iter 150: loss 2.4152, time 20.54ms, mfu 18.15%
[2025-01-05 18:52:58] iter 160: loss 2.3771, time 20.53ms, mfu 18.15%
[2025-01-05 18:52:58] iter 170: loss 2.3571, time 20.53ms, mfu 18.15%
[2025-01-05 18:52:59] iter 180: loss 2.3238, time 20.55ms, mfu 18.15%
[2025-01-05 18:52:59] iter 190: loss 2.2549, time 20.53ms, mfu 18.15%
[2025-01-05 18:52:59] iter 200: loss 2.2213, time 20.54ms, mfu 18.15%
[2025-01-05 18:52:59] iter 210: loss 2.1420, time 20.54ms, mfu 18.15%
[2025-01-05 18:52:59] iter 220: loss 2.1474, time 20.54ms, mfu 18.15%
[2025-01-05 18:53:00] iter 230: loss 2.0693, time 20.54ms, mfu 18.15%
[2025-01-05 18:53:00] iter 240: loss 2.0837, time 20.53ms, mfu 18.15%
[2025-01-05 18:53:03] step 250: train loss 1.9782, val loss 2.0775
[2025-01-05 18:53:03] saving checkpoint to out-shakespeare-char
[2025-01-05 18:53:03] iter 250: loss 2.0378, time 3120.40ms, mfu 16.34%
[2025-01-05 18:53:03] iter 260: loss 1.9790, time 20.53ms, mfu 16.52%
[2025-01-05 18:53:04] iter 270: loss 1.9825, time 20.54ms, mfu 16.69%
[2025-01-05 18:53:04] iter 280: loss 1.9759, time 20.52ms, mfu 16.83%
[2025-01-05 18:53:04] iter 290: loss 1.9176, time 20.53ms, mfu 16.96%
[2025-01-05 18:53:04] iter 300: loss 1.8999, time 20.53ms, mfu 17.08%
[2025-01-05 18:53:04] iter 310: loss 1.8637, time 20.54ms, mfu 17.19%
[2025-01-05 18:53:05] iter 320: loss 1.8528, time 20.53ms, mfu 17.29%
[2025-01-05 18:53:05] iter 330: loss 1.8184, time 20.55ms, mfu 17.37%
[2025-01-05 18:53:05] iter 340: loss 1.7976, time 20.54ms, mfu 17.45%
[2025-01-05 18:53:05] iter 350: loss 1.8265, time 20.54ms, mfu 17.52%
[2025-01-05 18:53:05] iter 360: loss 1.7744, time 20.53ms, mfu 17.58%
[2025-01-05 18:53:06] iter 370: loss 1.7397, time 20.55ms, mfu 17.64%
[2025-01-05 18:53:06] iter 380: loss 1.7349, time 20.55ms, mfu 17.69%
