[2025-01-05 17:28:37] tokens per iteration will be: 16,384
[2025-01-05 17:28:37] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2025-01-05 17:28:37] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2025-01-05 17:28:37] compiling the model... (takes a ~minute)
[2025-01-05 17:28:43] step 0: train loss 4.2874, val loss 4.2823
[2025-01-05 17:28:45] iter 0: loss 4.2654, time 7040.78ms, mfu -100.00%
[2025-01-05 17:28:45] iter 10: loss 3.1461, time 21.25ms, mfu 17.53%
[2025-01-05 17:28:45] iter 20: loss 2.7311, time 20.46ms, mfu 17.60%
[2025-01-05 17:28:46] iter 30: loss 2.6178, time 20.47ms, mfu 17.66%
[2025-01-05 17:28:46] iter 40: loss 2.5754, time 20.53ms, mfu 17.71%
[2025-01-05 17:28:46] iter 50: loss 2.5249, time 20.54ms, mfu 17.75%
[2025-01-05 17:28:46] iter 60: loss 2.5141, time 20.54ms, mfu 17.79%
[2025-01-05 17:28:46] iter 70: loss 2.4947, time 20.55ms, mfu 17.83%
[2025-01-05 17:28:47] iter 80: loss 2.4933, time 20.53ms, mfu 17.86%
[2025-01-05 17:28:47] iter 90: loss 2.4703, time 20.54ms, mfu 17.89%
[2025-01-05 17:28:47] iter 100: loss 2.4738, time 20.52ms, mfu 17.91%
[2025-01-05 17:28:47] iter 110: loss 2.4610, time 20.54ms, mfu 17.94%
[2025-01-05 17:28:47] iter 120: loss 2.4275, time 20.53ms, mfu 17.96%
[2025-01-05 17:28:48] iter 130: loss 2.4100, time 20.54ms, mfu 17.98%
[2025-01-05 17:28:48] iter 140: loss 2.4013, time 20.54ms, mfu 17.99%
[2025-01-05 17:28:48] iter 150: loss 2.4094, time 20.54ms, mfu 18.01%
[2025-01-05 17:28:48] iter 160: loss 2.3670, time 20.54ms, mfu 18.02%
[2025-01-05 17:28:49] iter 170: loss 2.3647, time 20.54ms, mfu 18.03%
[2025-01-05 17:28:49] iter 180: loss 2.3149, time 20.86ms, mfu 18.02%
[2025-01-05 17:28:49] iter 190: loss 2.2612, time 20.53ms, mfu 18.03%
[2025-01-05 17:28:49] iter 200: loss 2.2125, time 20.54ms, mfu 18.04%
[2025-01-05 17:28:49] iter 210: loss 2.1398, time 20.53ms, mfu 18.05%
[2025-01-05 17:28:50] iter 220: loss 2.1471, time 20.55ms, mfu 18.06%
[2025-01-05 17:28:50] iter 230: loss 2.0701, time 20.53ms, mfu 18.07%
[2025-01-05 17:28:50] iter 240: loss 2.0765, time 20.53ms, mfu 18.08%
[2025-01-05 17:28:53] step 250: train loss 1.9744, val loss 2.0734
[2025-01-05 17:28:53] saving checkpoint to out-shakespeare-char
[2025-01-05 17:28:53] iter 250: loss 2.0384, time 3073.91ms, mfu 16.28%
[2025-01-05 17:28:53] iter 260: loss 1.9751, time 20.53ms, mfu 16.47%
[2025-01-05 17:28:54] iter 270: loss 1.9793, time 20.53ms, mfu 16.64%
[2025-01-05 17:28:54] iter 280: loss 1.9769, time 20.53ms, mfu 16.79%
[2025-01-05 17:28:54] iter 290: loss 1.9137, time 20.54ms, mfu 16.92%
[2025-01-05 17:28:54] iter 300: loss 1.8995, time 20.52ms, mfu 17.05%
[2025-01-05 17:28:54] iter 310: loss 1.8652, time 20.54ms, mfu 17.16%
[2025-01-05 17:28:55] iter 320: loss 1.8474, time 20.54ms, mfu 17.25%
[2025-01-05 17:28:55] iter 330: loss 1.8192, time 20.53ms, mfu 17.34%
[2025-01-05 17:28:55] iter 340: loss 1.7905, time 20.55ms, mfu 17.42%
[2025-01-05 17:28:55] iter 350: loss 1.8253, time 20.55ms, mfu 17.49%
[2025-01-05 17:28:55] iter 360: loss 1.7677, time 20.53ms, mfu 17.56%
[2025-01-05 17:28:56] iter 370: loss 1.7387, time 20.54ms, mfu 17.62%
[2025-01-05 17:28:56] iter 380: loss 1.7258, time 20.53ms, mfu 17.67%
[2025-01-05 17:28:56] iter 390: loss 1.7393, time 20.54ms, mfu 17.72%
[2025-01-05 17:28:56] iter 400: loss 1.7632, time 20.53ms, mfu 17.76%
[2025-01-05 17:28:56] iter 410: loss 1.7009, time 20.53ms, mfu 17.80%
[2025-01-05 17:28:57] iter 420: loss 1.7136, time 20.54ms, mfu 17.83%
[2025-01-05 17:28:57] iter 430: loss 1.6871, time 20.53ms, mfu 17.87%
[2025-01-05 17:28:57] iter 440: loss 1.6559, time 20.53ms, mfu 17.89%
[2025-01-05 17:28:57] iter 450: loss 1.6490, time 20.54ms, mfu 17.92%
[2025-01-05 17:28:57] iter 460: loss 1.5968, time 20.52ms, mfu 17.94%
[2025-01-05 17:28:58] iter 470: loss 1.6473, time 20.54ms, mfu 17.96%
