[2024-12-16 22:10:24] tokens per iteration will be: 16,384
[2024-12-16 22:10:24] found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
[2024-12-16 22:10:24] Initializing a new model from scratch
/home/zeon256/Documents/school/Y4S1/FYP/nanoGPT/train.py:257: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == "float16"))
[2024-12-16 22:10:25] compiling the model... (takes a ~minute)
[2024-12-16 22:10:30] step 0: train loss 4.2874, val loss 4.2823
[2024-12-16 22:10:32] iter 0: loss 4.2654, time 7072.23ms, mfu -100.00%
[2024-12-16 22:10:33] iter 10: loss 3.1461, time 20.84ms, mfu 17.88%
[2024-12-16 22:10:33] iter 20: loss 2.7310, time 20.49ms, mfu 17.91%
[2024-12-16 22:10:33] iter 30: loss 2.6177, time 20.49ms, mfu 17.94%
[2024-12-16 22:10:33] iter 40: loss 2.5754, time 20.48ms, mfu 17.97%
[2024-12-16 22:10:34] iter 50: loss 2.5249, time 20.49ms, mfu 17.99%
[2024-12-16 22:10:34] iter 60: loss 2.5140, time 20.50ms, mfu 18.01%
[2024-12-16 22:10:34] iter 70: loss 2.4948, time 20.49ms, mfu 18.02%
[2024-12-16 22:10:34] iter 80: loss 2.4933, time 20.48ms, mfu 18.04%
[2024-12-16 22:10:34] iter 90: loss 2.4701, time 20.50ms, mfu 18.06%
[2024-12-16 22:10:35] iter 100: loss 2.4726, time 20.49ms, mfu 18.07%
[2024-12-16 22:10:35] iter 110: loss 2.4603, time 20.86ms, mfu 18.05%
[2024-12-16 22:10:35] iter 120: loss 2.4272, time 20.53ms, mfu 18.06%
[2024-12-16 22:10:35] iter 130: loss 2.4105, time 20.53ms, mfu 18.07%
[2024-12-16 22:10:35] iter 140: loss 2.3987, time 20.53ms, mfu 18.08%
[2024-12-16 22:10:36] iter 150: loss 2.4095, time 20.53ms, mfu 18.08%
[2024-12-16 22:10:36] iter 160: loss 2.3798, time 20.53ms, mfu 18.09%
[2024-12-16 22:10:36] iter 170: loss 2.3561, time 20.52ms, mfu 18.10%
[2024-12-16 22:10:36] iter 180: loss 2.3073, time 20.52ms, mfu 18.10%
[2024-12-16 22:10:36] iter 190: loss 2.2555, time 20.55ms, mfu 18.11%
[2024-12-16 22:10:37] iter 200: loss 2.2145, time 20.54ms, mfu 18.11%
[2024-12-16 22:10:37] iter 210: loss 2.1385, time 20.54ms, mfu 18.11%
[2024-12-16 22:10:37] iter 220: loss 2.1470, time 20.55ms, mfu 18.12%
[2024-12-16 22:10:37] iter 230: loss 2.0707, time 20.53ms, mfu 18.12%
[2024-12-16 22:10:37] iter 240: loss 2.0894, time 20.53ms, mfu 18.12%
[2024-12-16 22:10:41] step 250: train loss 1.9736, val loss 2.0679
[2024-12-16 22:10:41] saving checkpoint to out-shakespeare-char
[2024-12-16 22:10:41] iter 250: loss 2.0348, time 3131.90ms, mfu 16.32%
[2024-12-16 22:10:41] iter 260: loss 1.9791, time 20.53ms, mfu 16.50%
[2024-12-16 22:10:41] iter 270: loss 1.9795, time 20.53ms, mfu 16.67%
[2024-12-16 22:10:41] iter 280: loss 1.9783, time 20.52ms, mfu 16.82%
[2024-12-16 22:10:41] iter 290: loss 1.9153, time 20.53ms, mfu 16.95%
[2024-12-16 22:10:42] iter 300: loss 1.8973, time 20.51ms, mfu 17.07%
[2024-12-16 22:10:42] iter 310: loss 1.8718, time 20.54ms, mfu 17.18%
[2024-12-16 22:10:42] iter 320: loss 1.8505, time 20.54ms, mfu 17.28%
[2024-12-16 22:10:42] iter 330: loss 1.8184, time 20.52ms, mfu 17.36%
[2024-12-16 22:10:43] iter 340: loss 1.7916, time 20.53ms, mfu 17.44%
[2024-12-16 22:10:43] iter 350: loss 1.8313, time 20.54ms, mfu 17.51%
[2024-12-16 22:10:43] iter 360: loss 1.7757, time 20.53ms, mfu 17.58%
[2024-12-16 22:10:43] iter 370: loss 1.7450, time 20.54ms, mfu 17.63%
[2024-12-16 22:10:43] iter 380: loss 1.7320, time 20.53ms, mfu 17.68%
[2024-12-16 22:10:44] iter 390: loss 1.7297, time 20.53ms, mfu 17.73%
[2024-12-16 22:10:44] iter 400: loss 1.7667, time 20.53ms, mfu 17.77%
[2024-12-16 22:10:44] iter 410: loss 1.6997, time 20.53ms, mfu 17.81%
[2024-12-16 22:10:44] iter 420: loss 1.7167, time 20.52ms, mfu 17.84%
[2024-12-16 22:10:44] iter 430: loss 1.6844, time 20.53ms, mfu 17.88%
[2024-12-16 22:10:45] iter 440: loss 1.6527, time 20.52ms, mfu 17.90%
[2024-12-16 22:10:45] iter 450: loss 1.6526, time 20.52ms, mfu 17.93%
[2024-12-16 22:10:45] iter 460: loss 1.5959, time 20.52ms, mfu 17.95%
[2024-12-16 22:10:45] iter 470: loss 1.6394, time 20.54ms, mfu 17.97%
[2024-12-16 22:10:45] iter 480: loss 1.6184, time 20.53ms, mfu 17.99%
[2024-12-16 22:10:46] iter 490: loss 1.5968, time 20.53ms, mfu 18.00%
[2024-12-16 22:10:49] step 500: train loss 1.5202, val loss 1.7196
[2024-12-16 22:10:49] saving checkpoint to out-shakespeare-char
[2024-12-16 22:10:49] iter 500: loss 1.5973, time 3133.62ms, mfu 16.22%
[2024-12-16 22:10:49] iter 510: loss 1.6021, time 20.54ms, mfu 16.41%
[2024-12-16 22:10:49] iter 520: loss 1.5871, time 20.53ms, mfu 16.58%
[2024-12-16 22:10:49] iter 530: loss 1.5580, time 20.52ms, mfu 16.74%
[2024-12-16 22:10:50] iter 540: loss 1.6163, time 20.56ms, mfu 16.88%
[2024-12-16 22:10:50] iter 550: loss 1.5538, time 20.56ms, mfu 17.00%
[2024-12-16 22:10:50] iter 560: loss 1.5560, time 20.55ms, mfu 17.12%
[2024-12-16 22:10:50] iter 570: loss 1.5577, time 20.55ms, mfu 17.22%
[2024-12-16 22:10:51] iter 580: loss 1.5255, time 20.86ms, mfu 17.28%
[2024-12-16 22:10:51] iter 590: loss 1.4913, time 20.55ms, mfu 17.37%
[2024-12-16 22:10:51] iter 600: loss 1.5128, time 20.55ms, mfu 17.44%
[2024-12-16 22:10:51] iter 610: loss 1.5442, time 20.53ms, mfu 17.51%
[2024-12-16 22:10:51] iter 620: loss 1.5282, time 20.56ms, mfu 17.58%
[2024-12-16 22:10:52] iter 630: loss 1.5056, time 20.56ms, mfu 17.63%
[2024-12-16 22:10:52] iter 640: loss 1.4590, time 20.56ms, mfu 17.68%
[2024-12-16 22:10:52] iter 650: loss 1.4972, time 20.56ms, mfu 17.72%
[2024-12-16 22:10:52] iter 660: loss 1.5027, time 20.55ms, mfu 17.77%
[2024-12-16 22:10:52] iter 670: loss 1.4390, time 20.55ms, mfu 17.80%
[2024-12-16 22:10:53] iter 680: loss 1.5036, time 20.55ms, mfu 17.84%
[2024-12-16 22:10:53] iter 690: loss 1.4624, time 20.54ms, mfu 17.87%
[2024-12-16 22:10:53] iter 700: loss 1.4805, time 20.55ms, mfu 17.89%
[2024-12-16 22:10:53] iter 710: loss 1.4670, time 20.54ms, mfu 17.92%
[2024-12-16 22:10:53] iter 720: loss 1.4404, time 20.55ms, mfu 17.94%
[2024-12-16 22:10:54] iter 730: loss 1.4204, time 20.50ms, mfu 17.96%
[2024-12-16 22:10:54] iter 740: loss 1.4241, time 20.54ms, mfu 17.98%
[2024-12-16 22:10:57] step 750: train loss 1.3618, val loss 1.5908
[2024-12-16 22:10:57] saving checkpoint to out-shakespeare-char
[2024-12-16 22:10:57] iter 750: loss 1.4237, time 3136.97ms, mfu 16.19%
[2024-12-16 22:10:57] iter 760: loss 1.4416, time 20.55ms, mfu 16.39%
[2024-12-16 22:10:57] iter 770: loss 1.4228, time 20.54ms, mfu 16.56%
[2024-12-16 22:10:58] iter 780: loss 1.4188, time 20.53ms, mfu 16.72%
[2024-12-16 22:10:58] iter 790: loss 1.4142, time 20.54ms, mfu 16.86%
[2024-12-16 22:10:58] iter 800: loss 1.4287, time 20.55ms, mfu 16.99%
[2024-12-16 22:10:58] iter 810: loss 1.3988, time 20.54ms, mfu 17.11%
[2024-12-16 22:10:58] iter 820: loss 1.4051, time 20.54ms, mfu 17.21%
[2024-12-16 22:10:59] iter 830: loss 1.3861, time 20.54ms, mfu 17.30%
[2024-12-16 22:10:59] iter 840: loss 1.3944, time 20.55ms, mfu 17.39%
[2024-12-16 22:10:59] iter 850: loss 1.3911, time 20.54ms, mfu 17.46%
[2024-12-16 22:10:59] iter 860: loss 1.3922, time 20.54ms, mfu 17.53%
[2024-12-16 22:11:00] iter 870: loss 1.3944, time 20.54ms, mfu 17.59%
[2024-12-16 22:11:00] iter 880: loss 1.3705, time 20.54ms, mfu 17.65%
[2024-12-16 22:11:00] iter 890: loss 1.3903, time 20.54ms, mfu 17.69%
